"","999
014","5","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
018","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
026","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Reading","Course Total","15","4.000","66.7",".",".",".",".",".",".","20.0","",".",".","",".",".","13.3",".",".","."
"ED POL
310","Dept. Total","463","3.681","55.3","19.0","10.4","1.7","1.7","0.4","0.2","4.8","",".","2.4","",".","1.3","2.6",".","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","37","3.730","64.9","21.6","8.1","5.4",".",".",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","24","3.375","16.7","45.8","33.3","4.2",".",".",".",".","",".",".","",".",".",".",".",".","."
"Junior","","104","3.451","45.2","26.9","13.5","3.8","5.8","1.9","1.0","1.0","",".",".","",".",".","1.0",".",".","."
"Senior","","134","3.740","62.7","22.4","11.2",".","1.5",".",".","0.7","",".",".","",".",".","1.5",".",".","."
"Undergraduates","","299","3.609","53.2","25.8","13.4","2.3","2.7","0.7","0.3","0.7","",".",".","",".",".","1.0",".",".","."
"Special","","15","3.833","66.7","6.7",".","6.7",".",".",".",".","",".",".","",".",".","13.3",".","6.7","."
"Graduate","","148","3.871","58.8","6.8","5.4",".",".",".",".","12.8","",".","7.4","",".","4.1","4.7",".",".","."
"Prof Yr 3","","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"Professionals","","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"","Dept. Total","463","3.681","55.3","19.0","10.4","1.7","1.7","0.4","0.2","4.8","",".","2.4","",".","1.3","2.6",".","0.2","."
