"","990
081","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
083","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
084","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","86","",".",".",".",".","",".","",".","",".","36.0",".",".",".","39.5",".",".","24.4","."
"MED PHYS
621","Dept. Total","262","3.756","37.0","17.6","4.2",".","",".","",".","",".","12.6",".",".",".","13.0","6.9",".","8.8","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"621
MED PHYS","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Junior","","3","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Senior","","12","3.672","58.3","25.0","16.7",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","16","3.750","68.8","18.8","12.5",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Special","","3","",".",".",".",".","",".","",".","",".","66.7",".",".",".",".",".",".","33.3","."
"Graduate","","242","3.757","35.5","17.8","3.7",".","",".","",".","",".","12.4",".",".",".","14.0","7.4",".","9.1","."
"Prof Yr 4","","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"Professionals","","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","Dept. Total","262","3.756","37.0","17.6","4.2",".","",".","",".","",".","12.6",".",".",".","13.0","6.9",".","8.8","."
