"ATMOSPHERIC & OCEANIC SCIE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","","",""
"100
Weather and Climate","001","","152","2.733","16.4",".","30.3","28.3","11.8","7.9",".","1.3",".",".",".",".",".",".","3.3","0.7"
"101
Weather and Climate","001","","79","2.728","10.1","8.9","32.9","27.8","13.9","5.1","1.3",".",".",".",".",".",".",".",".","."
"171
Global Chg: Atmospheric Iss","001","","28","3.519","39.3","25.0","25.0",".","3.6",".",".","7.1",".",".",".",".",".",".",".","."
"310
Dynamics-Atmosphere&Ocean I","001","","25","3.000","28.0","12.0","20.0","12.0","28.0",".",".",".",".",".",".",".",".",".",".","."
"330
Physics-Atmosphere&Ocean I","001","","24","2.563","12.5","12.5","20.8","25.0","8.3","20.8",".",".",".",".",".",".",".",".",".","."
"331
Climatic Environments-Past","001","","13","3.192",".","46.2","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"401
Topics in Meteorology","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"425
Global Climate Processes","001","","15","3.233","13.3","40.0","26.7","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"452
Syn Lab I:Frontal Cyclone","001","","12","2.875","16.7","8.3","25.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"509
Teachr Wkshp-Earth Sys Sci-Web","001","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"532
Environmental Biophysics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"535
Atmospherc Dispersn&Pollutn","001","","11","3.550","45.5","9.1","36.4",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"610
Geophys Fluid Dynamics I","001","","16","3.750","56.3","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"623
Electronic Aids to Measmnt","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"630
Intro to Atm & Ocn Physics","001","","18","3.722","66.7","16.7","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"637
Cloud Physics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"660
Intro-Physical Oceanography","001","","21","3.429","52.4","19.0","19.0",".","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"691","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"691","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"691","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"691","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","10","",".",".",".",".",".",".",".",".",".",".",".","70.0",".",".","30.0","."
"698","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"761
Dynamics-Ocean Circulation","001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900
Seminar-Meteorology","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"911
Limnology & Marine Sci Seminar","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915
Seminar-Dynamics","001","","9","3.929","66.7","11.1",".",".",".",".",".",".",".",".",".",".","22.2",".",".","."
"965
Seminar-Oceanography","001","","8","3.625","25.0","75.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","12","",".",".",".",".",".",".",".","16.7","8.3",".",".","75.0",".",".",".","."
"990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","4","***","","","","","","","","","",".",".",".",".",".",".","."
