"GEOLOGY & GEOPHYSICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"420
GEOLOGY","","","","","","","","","","","","","","","","","","","",""
"","100","001","118","2.925","23.7","20.3","17.8","12.7","11.0","9.3","1.7","2.5",".",".",".",".",".",".","0.8","."
"","100","002","118","2.987","20.3","30.5","18.6","11.0","10.2","6.8","2.5",".",".",".",".",".",".",".",".","."
"General Geology","","Course Total","236","2.957","22.0","25.4","18.2","11.9","10.6","8.1","2.1","1.3",".",".",".",".",".",".","0.4","."
"Environmental Geology","106","001","75","3.027","17.3","13.3","44.0","8.0","13.3",".","1.3","2.7",".",".",".",".",".",".",".","."
"Evolution and Extinction","110","001","195","2.593","17.4","7.7","26.2","8.2","24.6","11.8","3.1","1.0",".",".",".",".",".",".",".","."
"Volcanoes and Civilization","111","001","139","3.329","36.7","15.1","22.3","11.5","6.5","0.7",".","0.7","0.7",".",".",".",".","5.8",".","."
"Mountains and Moving Plates","112","001","116","2.805","15.5","8.6","26.7","12.9","30.2","0.9",".","4.3",".",".",".",".",".",".",".","0.9"
"Directed Study","199","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Geologic Structures","202","001","65","3.008","21.5","20.0","24.6","18.5","12.3",".","3.1",".",".",".",".",".",".",".",".","."
"Geobiology","304","001","41","2.934","12.2","22.0","12.2","34.1","12.2",".",".","7.3",".",".",".",".",".",".",".","."
"Gems: Sci Behind the Sparkle","331","001","143","3.109","27.3","21.0","25.9","11.9","7.7","3.5","2.1","0.7",".",".",".",".",".",".",".","."
"The Age of Dinosaurs","333","001","166","2.662","6.6","15.1","28.9","11.4","24.1","4.2","2.4","4.8","0.6",".",".",".",".",".","1.8","."
"Principles of Mineralogy","360","001","58","2.912","19.0","13.8","25.9","20.7","13.8","5.2",".",".",".",".",".",".",".",".","1.7","."
"Energy Resources","411","001","49","3.302","32.7","24.5","24.5","6.1","8.2","2.0",".",".",".",".",".",".",".",".","2.0","."
"Sedimentology and Stratigraphy","430","001","31","3.196","19.4","19.4","32.3","16.1","3.2",".",".","9.7",".",".",".",".",".",".",".","."
"Sedimentary & Stratigraphy Lab","431","001","30","3.767","76.7","6.7","13.3",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"Paleobiology","541","001","22","2.909","31.8","9.1","22.7","9.1","13.6","13.6",".",".",".",".",".",".",".",".",".","."
"Intro to Applied Geophysics","594","001","12","3.000","25.0","25.0","16.7","8.3","16.7","8.3",".",".",".",".",".",".",".",".",".","."
"Fld Meth-Appl&Engr Geophysics","595","001","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hydrogeology","627","001","22","2.881","9.1","13.6","50.0","9.1","4.5","9.1",".","4.5",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","035","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","7","",".",".",".",".",".",".",".",".",".",".",".","71.4",".",".","28.6","."
"Senior Thesis","692","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","698","024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","8","3.167","25.0","12.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","699","019","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","12","3.375","50.0","8.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Groundwater Flow Modeling","724","001","15","3.571","33.3","46.7","6.7","6.7",".",".",".","6.7",".",".",".",".",".",".",".","."
"Geochemistry of Sediments","732","001","10","3.600","50.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Igneous Petrology","771","001","11","3.650","45.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".","9.1","."
"Physics of the Earth II","796","001","7","3.900","57.1","14.3",".",".",".",".",".",".",".",".",".",".","28.6",".",".","."
"","875","002","11","3.850","63.6","27.3",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","875","003","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","005","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 14, 2013","","","","","","","","","","","","","","","","","","","Page 216 of 403",""
