"LEGAL STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"535
LEGAL ST","","","","","","","","","","","","","","","","","","",""
"Criminal Justice in America","131
001","113","3.004","22.1","17.7","29.2","8.0","20.4","1.8","0.9",".",".",".",".",".",".",".",".","."
"Law, Politics and Society","217
001","40","2.938","15.0","25.0","35.0","12.5","5.0",".","7.5",".",".",".",".",".",".",".",".","."
"","400
011","68","3.074","14.7","22.1","36.8","16.2","10.3",".",".",".",".",".",".",".",".",".",".","."
"","400
012","65","3.262","23.1","33.8","20.0","16.9",".","3.1",".","1.5",".",".",".",".","1.5",".",".","."
"Topics: Legal Studies&Soc Sci","Course Total","133","3.164","18.8","27.8","28.6","16.5","5.3","1.5",".","0.8",".",".",".",".","0.8",".",".","."
"","450
010","31","3.350","19.4","41.9","25.8","6.5","3.2",".",".",".",".",".",".",".","3.2",".",".","."
"","450
018","25","3.060","12.0","32.0","20.0","28.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"","021
450","15","3.321","53.3","13.3",".","6.7","13.3","6.7",".",".",".",".",".",".","6.7",".",".","."
"Topic:Legal Studies&Humanities","Course Total","71","3.239","23.9","32.4","18.3","14.1","7.0","1.4",".",".",".",".",".",".","2.8",".",".","."
"Sociology of Law","641
001","50","3.480","38.0","36.0","22.0",".","2.0",".","2.0",".",".",".",".",".",".",".",".","."
"Introduction to Cyberlaw","663
001","14","3.071","14.3","7.1","57.1","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","691
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","5","***","","","","","","","","","","","","","","","",""
