"FOLKLORE PROGRAM","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","","","",""
"Introduction to Folklore","100","001","","70","3.757","78.6","10.0","5.7","1.4","1.4","2.9",".",".",".",".",".",".",".",".",".","."
"Intro-Mus Cult of the World","103","001","","20","3.342","70.0","5.0","5.0",".",".","5.0","10.0","5.0",".",".",".",".",".",".",".","."
"The African Storyteller","210","001","","25","2.300",".","12.0","24.0","24.0","28.0",".","12.0",".",".",".",".",".",".",".",".","."
"Intro to American Folklore","230","001","","12","3.333","33.3","50.0","8.3",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"Dir Stdy-Folklore Undergrad","399","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Musical Cultures-World","401","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Sami Culture,Yesterday & Today","443","001","","11","3.727","45.5","54.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prosem-Ethnomusicology","515","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Digitally Doc Everyday Comm","522","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","530","002","","7","3.429","85.7",".",".",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"","530","003","","8","3.286","25.0","25.0","12.5","25.0",".",".",".","12.5",".",".",".",".",".",".",".","."
"Topics in Folklore","","Course Total","","15","3.357","53.3","13.3","6.7","13.3",".",".","6.7","6.7",".",".",".",".",".",".",".","."
