"","990
104","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
106","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
107","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading and Research","Course Total","24","",".",".",".",".",".",".",".","87.5",".",".",".","12.5",".",".",".","."
"MATH
600","Dept. Total","7727","2.930","24.7","14.3","25.0","11.7","14.3","4.8","2.2","0.4","0.0","1.7","0.0","0.1","0.6","0.1","0.1","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3154","2.966","21.1","16.0","27.8","12.9","14.1","3.7","1.5",".",".","2.5","0.0",".","0.2","0.0",".","0.0"
"Sophomore","","2003","2.866","23.1","13.8","24.3","13.7","14.4","5.2","2.3","0.0",".","2.0",".",".","1.0",".","0.1","."
"Junior","","1240","2.782","22.2","13.8","23.1","11.1","17.7","7.0","3.1","0.1","0.1","0.7",".",".","0.7","0.2","0.1","."
"Senior","","816","2.766","23.7","12.3","25.2","8.9","16.2","7.6","4.7","0.2",".","0.2",".","0.1","0.6",".",".","0.2"
"Undergraduates","","7213","2.894","22.1","14.6","25.7","12.4","15.0","5.1","2.4","0.1","0.0","1.8","0.0","0.0","0.6","0.1","0.0","0.0"
"Special","","118","3.386","51.7","8.5","20.3","4.2","9.3","2.5",".","1.7",".",".",".",".","0.8",".","0.8","."
"Graduate","","395","3.708","64.3","10.4","12.9","1.5","2.3",".","0.3","6.1",".",".",".","0.8","0.3",".","1.3","."
"Prof Yr 4","","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Professionals","","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","Dept. Total","7727","2.930","24.7","14.3","25.0","11.7","14.3","4.8","2.2","0.4","0.0","1.7","0.0","0.1","0.6","0.1","0.1","0.0"
