"L&S","","","","","","","","","","","","","","","","","","",""
"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"COMP SCI
266","Dept. Total","3100","3.210","30.4","15.7","20.6","8.9","6.1","2.0","1.7","7.4","0.1","5.3","0.8","0.1","0.5","0.2","0.4","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"Freshmen","","200","3.268","43.0","12.5","14.5","6.0","6.5","3.0","2.5",".",".","12.0",".",".",".",".",".","."
"Sophomore","","464","3.002","25.0","10.1","30.2","15.5","8.0","2.4","1.9",".","0.2","5.6","0.6",".","0.4",".",".","."
"Junior","","695","3.018","24.7","13.8","27.5","13.7","8.3","2.4","2.4",".",".","5.6","0.9",".","0.3","0.3",".","."
"Senior","","851","3.111","27.3","20.6","22.0","10.1","8.1","2.7","2.5","0.4","0.1","4.5","1.4",".","0.4",".","0.1","."
"Undergraduates","","2210","3.072","27.4","15.5","24.8","12.0","8.0","2.6","2.4","0.1","0.1","5.7","1.0",".","0.3","0.1","0.0","."
"Special","","83","3.281","34.9","19.3","19.3","3.6","9.6","2.4",".","1.2",".","4.8",".",".","1.2","2.4","1.2","."
"Graduate","","858","3.683","40.4","15.5","9.2","1.2","0.6","0.2","0.1","26.1","0.1","3.8","0.6","0.2","0.7","0.1","1.0","."
"Prof Yr 4","","2","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"Professionals","","2","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"","Dept. Total","3153","3.210","31.2","15.6","20.4","8.8","6.0","1.9","1.7","7.3","0.1","5.2","0.8","0.1","0.4","0.2","0.3","."
