"AFRICAN LANGUAGES & LITERA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","","",""
"Literary Legacy of Arabs","120
001","","11","3.318","45.5",".","36.4","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Intro-African Lang and Lit","201
001","","37","3.806","73.0","10.8","13.5",".",".",".",".",".",".",".",".",".","2.7",".",".","."
"The African Storyteller","210
001","","92","2.562","6.5","7.6","20.7","35.9","19.6","4.3","2.2","1.1",".",".",".",".",".",".","2.2","."
"The African Autobiography","211
001","","27","3.481","40.7","25.9","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","","83","3.438","45.8","22.9","18.1","3.6","2.4",".","3.6","3.6",".",".",".",".",".",".",".","."
"African Lit in Translation","300
001","","14","3.192","7.1","28.6","50.0","7.1",".",".",".",".",".",".",".",".","7.1",".",".","."
"","321
001","","6","3.696","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","321
003","","17","3.247","29.4","35.3","5.9","11.8","17.6",".",".",".",".",".",".",".",".",".",".","."
"","004
321","","12","3.414","58.3",".","33.3",".",".","8.3",".",".",".",".",".",".",".",".",".","."
"","321
006","","12","3.267","41.7","8.3","25.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"","321
007","","15","3.500","46.7","20.0","26.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"First Semester Arabic","Course Total","","66","3.393","42.4","19.7","21.2","6.1","7.6","1.5",".",".",".",".",".",".","1.5",".",".","."
"","323
001","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","323
003","","18","3.333","44.4","22.2","22.2",".",".","11.1",".",".",".",".",".",".",".",".",".","."
"","323
004","","14","3.154","28.6","35.7",".","21.4",".",".","7.1",".",".",".",".",".","7.1",".",".","."
"Third Semester Arabic","Course Total","","40","3.372","45.0","25.0","12.5","7.5",".","5.0","2.5",".",".",".",".",".","2.5",".",".","."
"","331
001","","19","4.000","89.5",".",".",".",".",".",".","5.3",".",".",".",".","5.3",".",".","."
"","002
331","","19","3.618","57.9","10.5","15.8","10.5",".",".",".",".",".",".",".",".","5.3",".",".","."
"First Semester Swahili","Course Total","","38","3.798","73.7","5.3","7.9","5.3",".",".",".","2.6",".",".",".",".","5.3",".",".","."
"Third Semester Swahili","333
001","","14","3.607","57.1","14.3","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"1st Sem-Lang-South Africa","335
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"3rd Sem-Lang-South Africa","337
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Islam: Religion and Culture","370
001","","20","3.737","55.0","35.0",".","5.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"First Semester Yoruba","371
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Yoruba","373
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Sem-Lang of West Africa","391
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"3rd Sem-Lang of West Africa","393
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Studies-Swahili Lang-Gr","435
001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","445
001","","6","3.800","50.0","33.3",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","445
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Readings-Adv Arabic Texts","Course Total","","8","3.833","50.0","25.0",".",".",".",".",".","12.5",".",".",".",".","12.5",".",".","."
"Fifth Semester Yoruba","475
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"5th Sem, Lang of S Africa","493
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Lang and Society in Africa","500
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","669
001","","17","3.100","29.4","17.6","5.9","23.5","5.9","5.9",".","5.9",".",".",".",".","5.9",".",".","."
"Directed Study","699
011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"African Verbal Stylistics","702
001","","9","3.688","33.3","55.6",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Smr-Traditional African Lit","902
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-African Linguistics","903
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"February 14, 2013","","","","","","","","","","","","","","","","","","","Page 154 of 403",""
