"","990
030","3","***","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
032","2","***","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
037","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","27","",".",".",".",".",".","",".","",".","59.3",".",".",".","40.7",".",".",".","."
"DY SCI
292","Dept. Total","216","3.593","56.0","12.0","10.6","4.2","3.2","",".","",".","7.4",".",".",".","5.1","0.9",".","0.5","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"292
DY SCI","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","18","3.639","55.6","16.7","27.8",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Sophomore","","32","3.643","78.1","6.3","9.4",".","3.1","",".","",".",".",".",".",".",".",".",".","3.1","."
"Junior","","42","3.674","73.8","7.1","9.5","2.4","7.1","",".","",".",".",".",".",".",".",".",".",".","."
"Senior","","59","3.529","54.2","18.6","10.2","11.9","1.7","",".","",".",".",".",".",".",".","3.4",".",".","."
"Undergraduates","","151","3.614","64.9","12.6","11.9","5.3","3.3","",".","",".",".",".",".",".",".","1.3",".","0.7","."
"Special","","7","3.125","42.9","14.3",".","14.3","28.6","",".","",".",".",".",".",".",".",".",".",".","."
"Graduate","","58","3.627","34.5","10.3","8.6",".",".","",".","",".","27.6",".",".",".","19.0",".",".",".","."
"","Dept. Total","216","3.593","56.0","12.0","10.6","4.2","3.2","",".","",".","7.4",".",".",".","5.1","0.9",".","0.5","."
