"EDUCATIONAL POLICY STUDIES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","",""
"150
Education and Public Policy","001","","18","3.694","66.7","16.7","5.6","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"200
Race,Ethnicty&Inequal-Am Ed","001","","18","3.861","72.2","27.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","001","","39","3.434","30.8","33.3","25.6","5.1","2.6",".",".","2.6",".",".",".",".",".",".",".","."
"300","002","","31","3.968","93.5","6.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","003","","30","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"School and Society","Course Total","","100","3.758","68.0","18.0","10.0","2.0","1.0",".",".","1.0",".",".",".",".",".",".",".","."
"335
Globalization and Education","001","","33","3.453","36.4","27.3","27.3",".","6.1",".",".","3.0",".",".",".",".",".",".",".","."
"399","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"412
History-American Education","001","","82","3.281","23.2","40.2","20.7","4.9","4.9","2.4","1.2",".",".",".",".",".","1.2",".","1.2","."
"505
Issues in Urban Education","001","","37","3.779","59.5","24.3","8.1",".",".",".",".",".",".",".",".",".","8.1",".",".","."
"600
Problems in Educ Pol","001","","12","3.750","83.3",".","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"648
Sociology of Education","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699
Independent Reading","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"701
Intro to Ed Policy Studies","001","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"719
Intro to Qualitative Research","001","","14","3.846","71.4","14.3","7.1",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"765
Issues in Educ Policy Analysis","001","","18","3.806","72.2","16.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"780
Special Topics in Educ Policy","001","","16","3.700","56.3","18.8","18.8",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"788","001","","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"788","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Qual Rsch Mthds-Educ: Field I","Course Total","","13","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"830
School Finance","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"906
Prosem-History of Education","001","","8","3.750","50.0","12.5","12.5",".",".",".",".",".",".",".",".",".","25.0",".",".","."
"911
Seminar in Urban Education","001","","14","3.961","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"962
Cross Natl Studies-Ed Probs","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","23","",".",".",".",".",".",".",".","73.9",".",".",".","26.1",".",".",".","."
"999","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 14, 2013","","","","","","","","","","","","","","","","","","","","Page 88 of 403"
