"PHYSICAL EDUC ACTIVITY PRO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","",""
"Exercise,Nutrition,&Health","100
001","276","2.631","13.4","11.2","18.8","23.2","21.7","6.5","2.9","1.1",".",".",".",".","0.7","0.4",".","."
"","125
001","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","125
002","17","",".",".",".",".",".",".",".","94.1",".",".",".",".",".",".","5.9","."
"","125
003","14","",".",".",".",".",".",".",".","92.9",".",".",".",".",".",".","7.1","."
"","125
004","20","4.000","5.0",".",".",".",".",".",".","75.0",".",".",".",".",".",".","20.0","."
"Adapted Fitness&Pers Traing","Course Total","66","4.000","1.5",".",".",".",".",".",".","89.4",".",".",".",".",".",".","9.1","."
"","129
001","25","3.380","32.0","40.0","16.0","4.0","4.0","4.0",".",".",".",".",".",".",".",".",".","."
"","129
002","20","3.447","25.0","35.0","35.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Intro to Yoga Practice","Course Total","45","3.409","28.9","37.8","24.4","2.2","2.2","2.2",".","2.2",".",".",".",".",".",".",".","."
"","130
001","27","3.519","55.6","33.3",".",".",".",".","7.4","3.7",".",".",".",".",".",".",".","."
"","130
002","29","3.771","62.1","13.8",".","3.4","3.4",".",".","17.2",".",".",".",".",".",".",".","."
"Running (Aerobic Fitness)","Course Total","56","3.640","58.9","23.2",".","1.8","1.8",".","3.6","10.7",".",".",".",".",".",".",".","."
"","131
002","22","3.750","50.0","36.4","4.5",".",".",".",".","4.5","4.5",".",".",".",".",".",".","."
"","003
131","19","2.867","26.3","21.1","15.8",".",".",".","15.8","21.1",".",".",".",".",".",".",".","."
"Cross Traing-Basic Fitness","Course Total","41","3.371","39.0","29.3","9.8",".",".",".","7.3","12.2","2.4",".",".",".",".",".",".","."
"","132
001","22","3.750","36.4","36.4",".",".",".",".",".","27.3",".",".",".",".",".",".",".","."
"","002
132","26","3.333","46.2","11.5","3.8","11.5",".","3.8","3.8","19.2",".",".",".",".",".",".",".","."
"","132
005","29","3.800","58.6","20.7","6.9",".",".",".",".","13.8",".",".",".",".",".",".",".","."
"","132
007","25","3.800","60.0","8.0","12.0",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"","132
008","22","3.469","36.4","22.7","9.1",".",".",".","4.5","27.3",".",".",".",".",".",".",".","."
"Weight Training","Course Total","124","3.638","48.4","19.4","6.5","2.4",".","0.8","1.6","21.0",".",".",".",".",".",".",".","."
"","001
134","24","3.587","33.3","50.0","8.3","4.2",".",".",".","4.2",".",".",".",".",".",".",".","."
"","134
002","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Relaxation Tech & Exercise","Course Total","48","3.787","64.6","27.1","4.2","2.1",".",".",".","2.1",".",".",".",".",".",".",".","."
"","138
001","20","3.583","30.0","15.0","10.0","5.0",".",".",".","40.0",".",".",".",".",".",".",".","."
"","138
003","16","3.800","62.5","25.0","6.3",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","138
004","15","3.833","46.7","6.7","6.7",".",".",".",".","33.3",".",".",".",".","6.7",".",".","."
"","138
005","17","3.833","64.7","17.6","5.9",".",".",".",".","11.8",".",".",".",".",".",".",".","."
"Golf I","Course Total","68","3.765","50.0","16.2","7.4","1.5",".",".",".","23.5",".",".",".",".","1.5",".",".","."
"","140
001","19","3.969","78.9","5.3",".",".",".",".",".","10.5","5.3",".",".",".",".",".",".","."
"","140
002","15","3.423","26.7","33.3","20.0",".","6.7",".",".","13.3",".",".",".",".",".",".",".","."
"Ice Skating I","Course Total","34","3.724","55.9","17.6","8.8",".","2.9",".",".","11.8","2.9",".",".",".",".",".",".","."
"Ice Skating II","145
001","19","3.750","47.4","31.6","5.3",".",".",".",".","15.8",".",".",".",".",".",".",".","."
"Topics in Fencing","157
001","26","3.860","73.1","19.2","3.8",".",".",".",".","3.8",".",".",".",".",".",".",".","."
"","162
001","23","3.735","47.8","17.4","4.3","4.3",".",".",".","13.0",".",".",".",".",".","13.0",".","."
"","002
162","19","3.278","5.3","47.4","36.8","5.3",".",".",".","5.3",".",".",".",".",".",".",".","."
"","162
003","20","3.417","5.0","40.0","15.0",".",".",".",".","40.0",".",".",".",".",".",".",".","."
"Tennis I","Course Total","62","3.479","21.0","33.9","17.7","3.2",".",".",".","19.4",".",".",".",".",".","4.8",".","."
"","001
211","18","3.889","83.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","211
002","16","3.875","93.8",".",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Intro to Martial Arts","Course Total","34","3.882","88.2","5.9","2.9",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"","262
001","20","3.656","60.0","5.0","5.0",".","10.0",".",".","20.0",".",".",".",".",".",".",".","."
"","002
262","16","3.273","6.3","31.3","25.0","6.3",".",".",".","31.3",".",".",".",".",".",".",".","."
"Tennis II","Course Total","36","3.500","36.1","16.7","13.9","2.8","5.6",".",".","25.0",".",".",".",".",".",".",".","."
