"PATHO-BIOLOGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","","",""
"150
Topics & Careers in Vet Sci","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"210
HIV: Sex, Society and Science","001","","44","3.500","56.8","2.3","29.5","6.8","4.5",".",".",".",".",".",".",".",".",".",".","."
"299
Independent Study","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"510
Veterinary Immunology","001","","81","3.414","27.2","33.3","35.8","2.5","1.2",".",".",".",".",".",".",".",".",".",".","."
"512
Intro-Veterinary Epidemolgy","001","","80","3.619","57.5","12.5","27.5","1.3","1.3",".",".",".",".",".",".",".",".",".",".","."
"513
Veterinary Virology","001","","80","3.750","67.5","17.5","12.5","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"517
Veterinary Bact & Mycology","001","","82","3.691","56.1","24.4","18.3",".",".",".",".","1.2",".",".",".",".",".",".",".","."
"525
Active, Integrated Learning I","001","","80","4.000","57.5",".",".",".",".",".",".","42.5",".",".",".",".",".",".",".","."
"528
Immunology","001","","7","3.571","57.1","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"559
Veterinary General Path","002","","80","3.644","45.0","38.8","16.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"560
Veterinary Systemic Path I","002","","80","3.419","32.5","33.8","21.3","10.0","2.5",".",".",".",".",".",".",".",".",".",".","."
"660
Vet Necropsy Rotation","001","","30","4.000","53.3",".",".",".",".",".",".","46.7",".",".",".",".",".",".",".","."
"675
Special Topics","001","","11","4.000","18.2",".",".",".",".",".",".","81.8",".",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","16","4.000","37.5",".",".",".",".",".",".","56.3",".",".",".",".",".",".","6.3","."
"775","001","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","002","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"775","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"920
Thesis Research Seminar","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"930","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","011","","12","3.667","66.7","8.3","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Seminar","Course Total","","15","3.692","60.0","6.7","13.3","6.7",".",".",".",".",".",".",".",".",".",".","13.3","."
"990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
