"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"Intro to American Law","601
001","32","1.875","18.8",".","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","602
001","15","1.600","6.7",".","40.0",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","002
602","16","1.375","6.3",".","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","602
003","13","1.000","7.7",".","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Sources","Course Total","44","1.341","6.8",".","34.1",".","2.3",".",".",".",".",".",".",".",".",".",".","."
"","711
001","79","0.897","7.6",".","17.7",".","2.5",".",".",".",".",".",".",".",".",".","1.3","."
"","002
711","69","1.507","15.9",".","26.1",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","711
003","72","1.069","6.9",".","20.8",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","711
004","28","1.143","7.1",".","21.4",".","10.7",".",".",".",".",".",".",".",".",".",".","."
"Contracts I","Course Total","248","1.146","9.7",".","21.4",".","5.6",".",".",".",".",".",".",".",".",".","0.4","."
"","714
002","41","1.415","2.4",".","43.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
714","48","1.542","8.3",".","33.3",".","10.4",".",".",".",".",".",".",".",".",".",".","."
"","714
004","46","0.935","6.5",".","15.2",".","10.9",".",".",".",".",".",".",".",".",".",".","."
"","005
714","43","0.977","9.3",".","18.6",".","2.3",".",".",".",".",".",".",".",".",".",".","."
"","006
714","46","1.130","10.9",".","21.7",".","2.2",".",".",".",".",".",".",".",".",".",".","."
"Civil Procedure I","Course Total","224","1.201","7.6",".","26.3",".","5.4",".",".",".",".",".",".",".",".",".",".","."
"","715
001","75","0.747","6.7",".","13.3",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"","002
715","70","1.114","7.1",".","21.4",".","7.1","4.3",".",".",".",".",".",".",".",".",".","."
"","715
003","28","1.214","3.6",".","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","715
004","28","1.185","10.7",".","21.4",".","3.6",".",".",".",".",".",".",".","3.6",".",".","."
"","715
005","26","1.038","7.7",".","19.2",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Torts I","Course Total","227","1.004","7.0",".","20.3",".","4.8","1.3",".",".",".",".",".",".","0.4",".",".","."
"","723
001","14","1.500",".",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
002","12","0.750",".",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
003","13","0.923",".",".","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
723","15","1.267","13.3",".","20.0",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","723
005","14","1.385","21.4",".","14.3",".",".",".",".",".",".",".",".",".",".",".","7.1","."
"","006
723","12","0.583","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
007","11","1.727","9.1",".","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
008","13","1.077","15.4",".","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","009
723","11","1.818","27.3",".","18.2",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","723
010","18","1.111",".",".","33.3",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","723
011","18","1.278","11.1",".","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
012","19","1.474","10.5",".","31.6",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","723
013","19","0.895",".",".","26.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","723
014","20","1.250","15.0",".","20.0",".",".","5.0",".",".",".",".",".",".",".",".",".","."
"","723
015","18","0.833",".",".","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
016","17","1.353",".",".","41.2",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","723
017","19","1.158",".",".","31.6",".","10.5",".",".",".",".",".",".",".",".",".",".","."
"","723
018","18","1.000","5.6",".","22.2",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","723
019","20","2.000","5.0",".","60.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
020","15","1.400",".",".","46.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","021
723","16","0.813","6.3",".","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Research and Writing","Course Total","332","1.221","6.6",".","29.8",".","2.7","0.3",".",".",".",".",".",".",".",".","0.3","."
"","726
001","59","1.271","6.8",".","32.2",".","1.7",".",".",".",".",".",".",".",".",".",".","."
"February 14, 2013","","","","","","","","","","","","","","","","","","Page 326 of 403",""
