"GEOGRAPHY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"Intro to Human Geography","101","001","182","3.366","28.0","37.9","21.4","6.6","2.7",".","1.6","0.5",".",".",".",".","0.5",".","0.5","."
"","120","001","68","2.919","16.2","22.1","20.6","17.6","20.6","2.9",".",".",".",".",".",".",".",".",".","."
"","120","002","107","2.949","21.5","20.6","20.6","12.1","20.6","3.7","0.9",".",".",".",".",".",".",".",".","."
"Global Phys Environments","","Course Total","175","2.937","19.4","21.1","20.6","14.3","20.6","3.4","0.6",".",".",".",".",".",".",".",".","."
"Physical Systems of Envr","127","001","23","3.087","21.7","21.7","26.1","13.0","17.4",".",".",".",".",".",".",".",".",".",".","."
"Resources and People","139","001","54","3.185","14.8","27.8","38.9","16.7","1.9",".",".",".",".",".",".",".",".",".",".","."
"Digital Globe:GIScience & Tech","170","001","83","3.970","94.0","6.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Plants and Man","240","001","25","2.280","8.0","8.0","20.0","8.0","32.0","24.0",".",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","9","3.278","33.3","22.2","22.2","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"Civs of India-Modern Period","252","001","14","3.231","14.3","57.1","14.3",".",".",".","7.1",".",".",".",".",".",".","7.1",".","."
"Africa: Introductory Survey","277","001","14","3.429","21.4","57.1","7.1","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to the City","305","001","37","3.392","48.6","21.6","10.8","8.1","5.4","5.4",".",".",".",".",".",".",".",".",".","."
"Climatic Environments-Past","331","001","12","3.250","33.3","16.7","8.3","8.3","16.7",".",".","8.3",".",".",".",".","8.3",".",".","."
"Environmental Biogeography","338","001","24","3.667","66.7","12.5","12.5","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"","339","001","34","2.735","8.8","14.7","32.4","8.8","32.4","2.9",".",".",".",".",".",".",".",".",".","."
"","339","002","39","2.868","23.1","7.7","28.2","2.6","33.3","2.6",".","2.6",".",".",".",".",".",".",".","."
"Environmental Conservation","","Course Total","73","2.806","16.4","11.0","30.1","5.5","32.9","2.7",".","1.4",".",".",".",".",".",".",".","."
"World Regions in Global Contxt","340","001","190","3.008","11.1","29.5","22.6","20.5","5.8","2.1","1.6","3.7",".",".",".",".","3.2",".",".","."
"The American West","344","001","35","3.279","31.4","17.1","28.6","14.3","5.7",".",".","2.9",".",".",".",".",".",".",".","."
"Europe","349","001","177","3.305","35.0","20.9","22.0","13.0","5.6","1.7",".","1.7",".",".",".",".",".",".",".","."
"Introduction to Cartography","370","001","39","3.179","33.3","30.8","15.4","10.3","2.6",".","7.7",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","53","3.528","58.5","9.4","20.8","5.7","3.8","1.9",".",".",".",".",".",".",".",".",".","."
"Amer Environmental History","460","001","45","3.261","28.9","17.8","33.3","15.6",".","2.2",".",".",".",".",".",".",".","2.2",".","."
"Qualitative Strategies","500","001","19","3.656","52.6","10.5","15.8","5.3",".",".",".",".",".",".",".",".",".",".","15.8","."
"Adv Quantitative Methods","560","001","16","3.781","62.5","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Colloq-Undergraduate Majors","565","001","34","3.864","76.5","17.6",".","2.9",".",".",".",".",".",".",".",".","2.9",".",".","."
"Geographic Thought","566","001","9","3.778","77.8",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graphic Design-Cartography","572","001","26","3.559","46.2","26.9","15.4","11.5",".",".",".",".",".",".",".",".",".",".",".","."
"GIS and Spatial Analysis","579","001","19","3.176","21.1","15.8","42.1","5.3",".","5.3",".","10.5",".",".",".",".",".",".",".","."
"Internship","602","010","6","",".",".",".",".",".",".",".",".",".","16.7",".",".",".",".",".","."
"Special Topics in Geography","675","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Geography","676","001","11","3.950","81.8","9.1",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"","681","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","699","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","042","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","070","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 14, 2013","","","","","","","","","","","","","","","","","","","Page 214 of 403",""
