"POLITICAL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","","",""
"Independent Work","Course Total","5","***","","","","","","","","","","","","","","","","","",""
"POLI SCI
778","Dept. Total","3326","3.142","24.2","24.5","22.5","14.2","7.3","1.7","0.9","1.6","",".","0.2","",".","1.7","0.9","0.1","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","419","3.052","12.9","31.3","29.4","17.4","5.7","2.9","0.5",".","",".",".","",".",".",".",".",".","."
"Sophomore","","623","3.116","19.4","26.5","27.0","19.4","5.9","1.3","0.3",".","",".",".","",".",".","0.2",".",".","."
"Junior","","827","3.098","23.0","26.8","21.6","13.8","9.2","2.5","1.5","0.1","",".","0.5","",".",".","0.6","0.1","0.2","."
"Senior","","1121","3.152","27.1","22.0","22.7","14.5","9.0","1.3","1.2",".","",".","0.2","",".","1.2","0.6","0.2",".","."
"Undergraduates","","2990","3.114","22.4","25.6","24.2","15.7","8.0","1.9","1.0","0.0","",".","0.2","",".","0.4","0.4","0.1","0.1","."
"Special","","90","3.270","17.8","20.0","18.9","2.2","3.3","1.1","1.1","33.3","",".",".","",".",".",".",".","2.2","."
"Graduate","","245","3.807","49.4","12.7","2.9",".","0.4",".","0.4","8.6","",".",".","",".","18.0","6.5",".","1.2","."
"Prof Yr 2","","1","",".",".",".",".",".",".",".",".","",".",".","",".",".",".",".","100.0","."
"Professionals","","1","",".",".",".",".",".",".",".",".","",".",".","",".",".",".",".","100.0","."
"","Dept. Total","3326","3.142","24.2","24.5","22.5","14.2","7.3","1.7","0.9","1.6","",".","0.2","",".","1.7","0.9","0.1","0.2","."
