"PLANT PATHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"766
PL PATH","","","","","","","","","","","","","","","","","","","",""
"123
Plants, Parasites, & People","001","","36","3.706","58.3","19.4","13.9","2.8",".",".",".","5.6",".",".",".",".",".",".",".","."
"299","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"300
Intro to Plant Pathology","001","","66","3.508","43.9","19.7","28.8","4.5","1.5",".",".","1.5",".",".",".",".",".",".",".","."
"309
Disease-Landscp Trees&Shrub","001","","10","3.400","20.0","40.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"323
Soil Biology","001","","7","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"375","002","","20","3.605","35.0","45.0","15.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"Special Topics","Course Total","","22","3.625","36.4","40.9","13.6",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"517
Plant Disease Resistance","001","","17","3.607","35.3","29.4","17.6",".",".",".",".","17.6",".",".",".",".",".",".",".","."
"602
Ecol&Epidemiol-Plt Diseases","001","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"606
Colloquium in Env Tox","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"640
Gen Virology-Multiplication","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"655
Biol & Genetics-Filament Fungi","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","5","***","","","","","","","","","","","","","","","",""
"799
Pract-Plant Pathology Tchg","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"800
Inquiry-Based Biology Teaching","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"801
Teaching Biol: Special Topics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"875
Special Topics","002","","9","4.000","22.2",".",".",".",".",".",".",".",".",".",".",".","77.8",".",".","."
"923
Seminar","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","28","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
