"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","",""
"Current Econ-Issues&Policy","100
001","106","2.957","20.8","20.8","17.9","19.8","13.2","4.7","0.9","1.9",".",".",".",".",".",".",".","."
"","101
001","379","2.817","15.6","17.7","21.9","21.4","16.4","4.2","2.4","0.5",".",".",".",".",".",".",".","."
"","002
101","378","2.852","15.6","19.3","21.7","21.4","16.7","3.2","2.1",".",".",".",".",".",".",".",".","."
"","101
003","345","3.052","15.7","29.6","28.1","15.1","7.2","2.6","1.7",".",".",".",".",".",".",".",".","."
"","004
101","348","3.009","20.1","19.3","27.0","19.3","9.8","4.3","0.3",".",".",".",".",".",".",".",".","."
"Principles-Microeconomics","Course Total","1450","2.928","16.7","21.3","24.6","19.4","12.7","3.6","1.7","0.1",".",".",".",".",".",".",".","."
"","102
001","235","2.749","8.1","17.9","26.8","22.6","17.4","6.0","0.4",".",".",".",".",".",".",".","0.4","0.4"
"","002
102","260","3.292","26.9","26.5","31.5","8.5","5.4","0.8",".",".",".",".",".",".","0.4",".",".","."
"","102
003","282","3.195","20.6","25.2","35.8","12.4","4.6","1.4",".",".",".",".",".",".",".",".",".","."
"Principles-Macroeconomics","Course Total","777","3.093","18.9","23.4","31.7","14.2","8.8","2.6","0.1",".",".",".",".",".","0.1",".","0.1","0.1"
"Prin/Econ-Accelratd Treatmt","001
111","30","3.050","23.3","23.3","16.7","20.0","13.3","3.3",".",".",".",".",".",".",".",".",".","."
"Internship Economics","228
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","299
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
001","9","2.667",".","33.3","22.2","11.1","22.2","11.1",".",".",".",".",".",".",".",".",".","."
"","300
002","18","2.556","16.7","11.1","5.6","33.3","22.2","5.6","5.6",".",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","27","2.593","11.1","18.5","11.1","25.9","22.2","7.4","3.7",".",".",".",".",".",".",".",".","."
"","301
001","116","2.873","21.6","15.5","19.8","16.4","17.2","6.9","0.9","1.7",".",".",".",".",".",".",".","."
"","301
002","98","3.122","18.4","26.5","28.6","20.4","4.1","1.0","1.0",".",".",".",".",".",".",".",".","."
"","301
003","106","2.976","9.4","32.1","26.4","14.2","13.2","3.8",".",".",".",".",".",".","0.9",".",".","."
"Intmed Microeconomic Theory","Course Total","320","2.984","16.6","24.4","24.7","16.9","11.9","4.1","0.6","0.6",".",".",".",".","0.3",".",".","."
"","302
001","165","2.982","20.0","21.2","19.4","22.4","13.3","3.0","0.6",".",".",".",".",".",".",".",".","."
"","302
002","211","3.159","26.1","17.5","34.1","10.4","10.0","1.9",".",".",".",".",".",".",".",".",".","."
"Intmed Macroeconomic Theory","Course Total","376","3.081","23.4","19.1","27.7","15.7","11.4","2.4","0.3",".",".",".",".",".",".",".",".","."
"The Real Estate Process","306
001","71","2.873","12.7","12.7","31.0","26.8","15.5","1.4",".",".",".",".",".",".",".",".",".","."
"","310
001","100","2.955","24.0","16.0","24.0","19.0","9.0","6.0","2.0",".",".",".",".",".",".",".",".","."
"","002
310","99","2.949","20.2","22.2","15.2","22.2","16.2","3.0","1.0",".",".",".",".",".",".",".",".","."
"Stats:Measrmnt in Economics","Course Total","199","2.952","22.1","19.1","19.6","20.6","12.6","4.5","1.5",".",".",".",".",".",".",".",".","."
"Intmed Microecon-Adv Treatment","311
001","40","3.615","55.0","20.0","15.0","5.0","2.5",".",".",".",".",".",".",".","2.5",".",".","."
"","320
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Investment Theory","Course Total","7","2.643",".","14.3","42.9",".","42.9",".",".",".",".",".",".",".",".",".",".","."
"Money and Banking","330
001","188","2.810","10.1","13.8","27.1","27.7","16.5","2.7",".","2.1",".",".",".",".",".",".",".","."
"Environmental Economics","343
001","115","2.791","21.7","12.2","16.5","26.1","16.5","1.7","5.2",".",".",".",".",".",".",".",".","."
"Survey-Internatl Economics","364
001","34","3.227","26.5","20.6","32.4","5.9","11.8",".",".",".",".",".",".",".",".","2.9",".","."
"Contemporary Economic Issues","390
014","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Econometrics","410
001","93","3.027","24.7","28.0","17.2","14.0","6.5","3.2","5.4",".",".",".",".",".","1.1",".",".","."
"Urban & Regional Economics","420
001","19","2.917","5.3","10.5","42.1","36.8",".",".",".",".",".",".",".",".","5.3",".",".","."
"The Financial System","435
001","33","3.419","36.4","24.2","30.3",".",".",".","3.0",".",".",".",".",".","6.1",".",".","."
"Analytical Public Finance","441
001","103","3.000","21.4","23.3","22.3","21.4","3.9","4.9","2.9",".",".",".",".",".",".",".",".","."
"Human Resources-Econ Growth","448
001","52","2.931","11.5","9.6","46.2","19.2","9.6","1.9",".",".",".",".",".",".","1.9",".",".","."
"Indust Struct&Comptitv Stratgy","458
001","43","3.744","60.5","20.9","14.0",".",".",".",".",".",".",".",".",".","2.3","2.3",".","."
