"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"","726
002","56","1.232","3.6",".","30.4",".","8.9",".",".",".",".",".",".",".",".",".",".","."
"","726
003","26","1.538","15.4",".","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","726
004","25","1.880","8.0",".","44.0",".","12.0",".",".",".",".",".",".",".",".",".",".","."
"","726
005","25","0.880","4.0",".","24.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","726
006","30","0.900","10.0",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Substan Criminal Law","Course Total","221","1.267","7.2",".","29.9",".","4.1",".",".",".",".",".",".",".",".",".",".","."
"Federal Law & Indian Tribes","730
001","6","0.882",".",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Transactions I","732
001","61","1.294","11.5",".","19.7",".",".","3.3","1.6","13.1",".",".",".",".","3.3",".",".","."
"Secured Transactions","736
001","25","2.043","32.0",".","20.0",".",".",".",".","8.0",".",".",".",".",".",".",".","."
"Religion and the Constitution","001
739","21","1.200","14.3",".","19.0",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"","740
001","59","1.175","5.1",".","25.4",".","8.5",".",".","1.7",".",".",".",".","1.7",".",".","."
"","740
002","32","1.000","12.5",".","9.4",".","6.3",".",".","9.4",".",".",".",".",".",".",".","."
"","003
740","38","1.329","5.3","2.6","28.9",".","2.6",".",".","7.9",".",".",".",".",".",".",".","."
"Constitutional Law II","Course Total","129","1.178","7.0","0.8","22.5",".","6.2",".",".","5.4",".",".",".",".","0.8",".",".","."
"Bus Orgnztions II:Publ Corp","741
001","16","1.750","18.8",".","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Taxation I","742
001","97","1.295","23.7",".","6.2",".","6.2","1.0",".","2.1",".",".",".",".",".",".",".","."
"","743
001","14","0.821","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","743
002","14","2.000","21.4",".","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","743
003","14","2.000","28.6",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Negotiations","Course Total","42","1.558","21.4","2.4","19.0",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Administrative Law","744
001","46","0.528","6.5",".","2.2",".","4.3",".",".","21.7",".",".",".",".",".",".",".","."
"Labor Relations Law","745
001","36","1.265","11.1",".","25.0",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Legislation","746
001","19","1.263","15.8",".","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Antitrust","748
001","12","0.917","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Copyright Law","752
001","20","2.150","35.0",".","25.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"Intro-Intellectual Proprty Law","753
001","29","1.643","34.5",".","6.9",".",".",".","3.4","3.4",".",".",".",".",".",".",".","."
"Role of Police in Free Soc","760
001","10","1.778","10.0",".","40.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Consumer Health Advocacy","768
001","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","771
001","88","1.256","13.6",".","13.6",".","8.0",".",".","10.2",".",".",".",".","1.1",".",".","."
"","002
771","70","1.145","12.9",".","10.0",".","10.0",".",".","11.4",".",".",".",".",".",".",".","."
"","771
003","6","0.500",".",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","771
004","12","0.500",".",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Select Topics-Estate Planning","Course Total","176","1.104","11.9",".","12.5",".","8.0",".",".","9.7",".",".",".",".","0.6",".",".","."
"","001
801","39","1.086","10.3",".","15.4",".","5.1",".",".","10.3",".",".",".",".",".",".",".","."
"","801
002","103","1.177","10.7",".","15.5",".","7.8","4.9","2.9","6.8",".",".",".",".",".",".",".","."
"Evidence","Course Total","142","1.153","10.6",".","15.5",".","7.0","3.5","2.1","7.7",".",".",".",".",".",".",".","."
"","001
802","54","1.417","9.3",".","29.6",".",".",".","1.9","11.1",".",".",".",".",".",".",".","."
"","802
002","42","0.842","7.1",".","14.3",".","2.4",".",".","7.1",".",".",".",".","2.4",".",".","."
"Civil Procedure II","Course Total","96","1.163","8.3",".","22.9",".","1.0",".","1.0","9.4",".",".",".",".","1.0",".",".","."
"Advanced Legal Writing","808
001","6","1.667","16.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","815
001","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815
002","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"February 14, 2013","","","","","","","","","","","","","","","","","","Page 327 of 403",""
