"MED","","","","","","","","","","","","","","","","","","","",""
"POPULATION HEALTH SCIENCE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","",""
"795
Principles-Populatn Health Sci","001","","21","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"797
Introduction to Epidemiology","001","","71","3.649","36.6","49.3","8.5",".",".",".",".","4.2",".",".",".",".",".",".","1.4","."
"802
Adv Epidemiol: Etiol&Preventn","001","","15","3.767","60.0","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"820
Graduate Research Seminar","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"904","004","","41","3.974","90.2","4.9",".",".",".",".",".","2.4",".",".",".",".","2.4",".",".","."
"904","102","","10","3.929","60.0","10.0",".",".",".",".",".","30.0",".",".",".",".",".",".",".","."
"Special Topics-Epidemiology","Course Total","","51","3.965","84.3","5.9",".",".",".",".",".","7.8",".",".",".",".","2.0",".",".","."
"915","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915","050","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Internl Hlth Systems & Policy","Course Total","","5","***","","","","","","","","","","","","","","","",""
"990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","071","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","34","",".",".",".",".",".",".",".","82.4",".",".",".","17.6",".",".",".","."
