"CURRICULUM AND INSTRUCTIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","",""
"","467
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teaching-Music:Secndry","Course Total","5","***","","","","","","","","","","","","","","","",""
"Stdt Teaching Engl-Mid Schl","472
001","9","",".",".",".",".",".",".",".",".",".","88.9",".",".",".",".","11.1","."
"Stdt Teach-Science in H.S.","490
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Student Teaching in HS Math","494
001","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teach Sci-MiddleSchl","495
001","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching-English in HS","496
001","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teach-Middle Schl Math","497
001","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching-Middle School","498
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Health Info for Teachers","501
001","17","3.706","58.8","23.5","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
001","30","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
506","31","3.871","74.2","25.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
003","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
004","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
005","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
006","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategy-Inclusive Schoolng","Course Total","153","3.964","92.8","7.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Holocaust: Hist, Memory & Educ","515
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","550
001","25","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
550","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Meth&Matl-Early Childhd Ed","Course Total","39","3.987","94.9","2.6",".",".",".",".",".",".",".",".",".",".","2.6",".",".","."
"Adv Pract-Teach Soc Studies","001
559","15","3.833","73.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teacher Ed-Human Sexuality","561
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Iss, Mtls & Mthds-Hlth Educ","567
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Pract-Teaching Science","590
001","15","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Prac-Tch Engl Secn Schl","596
001","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar on Literacy","604
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","620
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Wrkshp-Schl Program Develop","630
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg: Number & Generalization","636
001","13","3.667","46.2","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","7.7"
"Tchg: Algebra & Functions","639
001","24","3.792","75.0","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","660
001","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","660
002","25","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","660
003","15","3.800","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Early Childhood Education","Course Total","57","3.895","80.7","17.5","1.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lrng Envr-Initial Ed Progm","663
001","25","3.940","92.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Learning 2nd Lang & Literacies","673
001","16","3.827","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
