"L&S","","","","","","","","","","","","","","","","","","",""
"JOURN AND MASS COMMUNICA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","",""
"Mass Media in Multicultrl Amer","162
001","112","3.183","12.5","42.9","28.6","8.0","6.3",".","1.8",".",".",".",".",".",".",".",".","."
"Spec Topics in Mass Comm","176
003","20","3.375","20.0","40.0","35.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Mass Communication","201
001","349","3.473","41.3","28.7","22.9","2.3","2.3","0.9","1.1","0.3",".",".",".",".",".","0.3",".","."
"Mass Communication Practices","202
001","117","3.393","26.5","29.1","42.7",".","1.7",".",".",".",".",".",".",".",".",".",".","."
"","335
001","14","3.393","14.3","57.1","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","335
002","20","3.575","55.0","25.0","15.0",".",".","5.0",".",".",".",".",".",".",".",".",".","."
"","335
003","14","3.536","28.6","57.1","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","335
004","16","3.688","62.5","25.0","6.3",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Reporting","Course Total","64","3.555","42.2","39.1","12.5","3.1","1.6","1.6",".",".",".",".",".",".",".",".",".","."
"","345
001","30","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","345
002","30","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
345","32","3.984","96.9","3.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","345
004","33","3.924","84.8","15.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Strategic Com","Course Total","125","3.948","89.6","10.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"In-Depth Reporting","401
001","11","3.318","45.5","27.3","9.1",".","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"Creative Nonfiction","405
001","14","2.893",".","35.7","50.0",".","7.1",".","7.1",".",".",".",".",".",".",".",".","."
"Science & Envir Journalism","415
001","7","3.214","28.6","14.3","42.9",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Magazines&Magazine Editing","417
001","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electronc News-Web & Broadcast","419
001","18","3.556","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","445
001","13","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","445
002","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Develop Creatv Messages-Media","Course Total","32","3.906","84.4","12.5","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","447
001","19","3.605","47.4","31.6","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","447
002","21","3.595","38.1","42.9","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Media Planning","Course Total","40","3.600","42.5","37.5","17.5","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch&Stratgy-Strategc Campaign","449
001","16","3.656","87.5",".",".","6.3",".",".","6.3",".",".",".",".",".",".",".",".","."
"","475
013","9","3.786","44.4","33.3",".",".",".",".",".",".",".",".",".",".","22.2",".",".","."
"","016
475","12","3.500","33.3","41.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","475
017","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Adv Concpts&Skills","Course Total","30","3.661","46.7","33.3","10.0","3.3",".",".",".",".",".",".",".",".","6.7",".",".","."
"Law of Mass Communication","001
559","78","2.769","19.2","15.4","20.5","17.9","14.1","11.5","1.3",".",".",".",".",".",".",".",".","."
"Hist of Mass Communication","560
001","66","2.984","10.6","25.8","30.3","16.7","10.6","3.0",".","3.0",".",".",".",".",".",".",".","."
"Mass Media and Youth","616
001","7","3.071","28.6","14.3","42.9",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"Mass Comm & Political Behav","618
001","19","3.421","36.8","21.1","36.8",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","620
001","19","3.316","21.1","26.3","47.4","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","002
620","22","3.905","77.3","18.2",".",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"International Communication","Course Total","41","3.625","51.2","22.0","22.0","2.4",".",".",".","2.4",".",".",".",".",".",".",".","."
"Mass Media and the Consumer","646
001","110","3.325","25.5","19.1","45.5","5.5","0.9",".",".","2.7",".",".",".",".","0.9",".",".","."
"Prof Responsiblty in Mass Comm","666
001","22","3.932","86.4","13.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","030
676","80","3.981","96.3","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","676
045","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Mass Communication","Course Total","92","3.988","96.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 14, 2013","","","","","","","","","","","","","","","","","","Page 237 of 403",""
