"GENETICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"412
GENETICS","","","","","","","","","","","","","","","","","","","",""
"160
Heredity","001","","86","3.221","38.4","9.3","31.4","7.0","10.5","3.5",".",".",".",".",".",".",".",".",".","."
"299","008","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","019","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","020","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"299","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","035","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","070","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","077","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","112","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","46","3.981","97.8",".","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"466
General Genetics","001","","180","2.715","14.4","9.4","26.7","16.1","26.7","5.6","0.6","0.6",".",".",".",".",".",".",".","."
"470
Basic Cytology & Lab Procudure","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"545","001","","9","3.611","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"545","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Genetics Laboratory","Course Total","","14","3.607","42.9","35.7","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"550
Molec Approach-Crop Improvt","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"565
Human Genetics","001","","51","3.020","19.6","13.7","35.3","13.7","17.6",".",".",".",".",".",".",".",".",".",".","."
"570
The Female Reproductive System","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"571
Clinical Practice I","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"572
The Respiratory System","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"573
The Genitourinary System","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"612
Prokaryotic Molecular Biol","001","","6","2.833","16.7",".","50.0",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"655
Biol & Genetics-Filament Fungi","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"677","001","","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"677","002","","26","3.250","34.6","11.5","30.8","3.8","7.7","3.8",".","7.7",".",".",".",".",".",".",".","."
"677","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"677","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Topics in Genetics","Course Total","","42","3.345","47.6","11.9","23.8","2.4","4.8","2.4",".","7.1",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 14, 2013","","","","","","","","","","","","","","","","","","","","Page 26 of 403"
