"ELECTRICAL AND COMPUTER E Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","",""
"Course Total
Advanced Independent Study","17","3.952","76.5","5.9",".",".",".",".",".","5.9","",".",".","",".","5.9",".",".","5.9","."
"E C E
Dept. Total
320","2444","3.324","39.5","16.4","19.4","7.0","4.8","1.7","0.7","4.7","",".","0.4","",".","4.5","0.5","0.1","0.2","0.2"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","",""
"Freshmen","24","3.250","37.5","29.2","8.3","12.5","4.2","8.3",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","121","3.394","55.4","14.0","11.6","12.4","4.1","2.5",".",".","",".",".","",".",".",".",".",".","."
"Junior","540","3.134","40.9","14.1","23.1","8.7","8.0","3.0","2.2",".","",".",".","",".",".",".",".",".","."
"Senior","966","3.321","42.9","17.8","23.4","7.6","5.7","1.6","0.4",".","",".",".","",".",".","0.6","0.1",".","."
"Undergraduates","1651","3.263","43.1","16.5","22.2","8.4","6.3","2.2","1.0",".","",".",".","",".",".","0.4","0.1",".","."
"Special","83","3.002","26.5","10.8","28.9","10.8","10.8","6.0",".","2.4","",".",".","",".",".","1.2",".","2.4","."
"Graduate","818","3.569","28.4","14.7","10.3","2.9","0.5",".","0.2","13.9","",".","13.8","",".","13.4","0.5","0.2","0.2","0.5"
"Dept. Total","2552","3.324","37.8","15.7","18.6","6.7","4.6","1.6","0.7","4.5","",".","4.4","",".","4.3","0.4","0.1","0.2","0.2"
