"PHYSIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"762
PHYSIOL","","","","","","","","","","","","","","","","","","","",""
"335
Physiology","001","","476","3.050","34.0","4.2","38.0","1.5","15.1","4.8","1.9",".","0.2",".",".",".","0.2",".",".","."
"610
Cellular&Molecular Neurosci","001","","9","3.500","44.4","22.2","11.1",".","11.1",".",".",".",".",".",".",".",".",".","11.1","."
"625
Brain Cell Cultres&Imagng:Lab","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"629
Molec & Cellular Mech-Memory","001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","001","","22","3.705","45.5","50.0","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","002","","22","3.591","27.3","63.6","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","004","","22","3.409","13.6","59.1","22.7","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Selected Topics-Physiology","Course Total","","66","3.577","28.8","57.6","12.1","1.5",".",".",".",".",".",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","050","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","071","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","098","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","","35","3.963","94.3","5.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"700
Prof Devlpmt-Biomed Grad Stdts","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"725
Muscle Biology","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"901
Seminar","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","32","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
