"BUS","","","","","","","","","","","","","","","","","","",""
"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","",""
"Fundamentals of Taxation","Course Total","79","3.247","30.4","20.3","32.9","3.8","11.4","1.3",".",".",".",".",".",".",".",".",".","."
"","001
621","46","3.391","23.9","39.1","28.3","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"","621
002","37","3.365","32.4","27.0","24.3","13.5","2.7",".",".",".",".",".",".",".",".",".",".","."
"Corporate & Advanced Taxation","Course Total","83","3.380","27.7","33.7","26.5","10.8","1.2",".",".",".",".",".",".",".",".",".",".","."
"","630
001","45","3.389","22.2","35.6","40.0","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"","630
002","43","3.326","25.6","23.3","44.2","4.7","2.3",".",".",".",".",".",".",".",".",".",".","."
"","630
003","34","3.471","29.4","35.3","35.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Audit and Assurance Services","Course Total","122","3.389","25.4","31.1","40.2","2.5","0.8",".",".",".",".",".",".",".",".",".",".","."
"","700
001","46","3.435","19.6","52.2","23.9","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","700
002","48","3.406","16.7","52.1","27.1","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","700
030","49","3.643","49.0","30.6","20.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
031","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Accounting","Course Total","178","3.596","42.7","36.0","19.1","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Reporting I","701
001","11","3.227","36.4","9.1","27.3","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"Financial Reporting II","702
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","706
001","20","3.225","30.0","15.0","25.0","30.0",".",".",".",".",".",".",".",".",".",".",".","."
"","706
002","37","3.446","40.5","18.9","29.7","10.8",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Financial Reporting","Course Total","57","3.368","36.8","17.5","28.1","17.5",".",".",".",".",".",".",".",".",".",".",".","."
"","001
710","21","3.714","61.9","19.0","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","710
002","22","3.682","63.6","13.6","18.2","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Managerial Accounting","Course Total","43","3.698","62.8","16.3","18.6","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch&Adm Issues-Taxation","724
001","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","770
001","46","3.511","26.1","52.2","19.6","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"","770
002","40","3.550","45.0","30.0","15.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Smr:Financial Reporting Theory","Course Total","86","3.529","34.9","41.9","17.4","5.8",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Current Taxation Topics","772
001","19","3.526","21.1","63.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Accounting Research","971
001","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"PhD Thesis-Accounting","990
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
014","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
077","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
085","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
122","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
163","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Readng & Rsch-Accountng PhD","Course Total","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
