"","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"138","001","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"138","002","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"138","003","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"138","004","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"138","005","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"138","006","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"138","007","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"138","008","12","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"138","009","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"138","010","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"138","011","11","3.636","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Course Total","116","3.853","78.4","13.8","7.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"157","001","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157","002","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157","003","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157","004","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157","006","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157","007","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157","008","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157","009","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157","010","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157","011","12","",".",".",".",".",".",".",".",".",".","91.7","8.3",".",".",".",".","."
"157","012","4","***","","","","","","","","","",".",".",".",".",".",".","."
"157","013","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157","014","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157","015","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157","016","7","",".",".",".",".",".",".",".",".",".","14.3",".",".",".",".","85.7","."
"157","017","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157","018","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","Course Total","188","",".",".",".",".",".",".",".",".",".","96.3","0.5",".",".",".","3.2","."
"200","001","79","3.671","50.6","35.4","12.7",".","1.3",".",".",".",".",".",".",".",".",".",".","."
"201","001","113","3.286","31.0","23.9","25.7","9.7","8.0","0.9",".",".",".",".",".",".",".","0.9",".","."
"202","001","71","3.451","32.4","36.6","23.9","5.6",".","1.4",".",".",".",".",".",".",".",".",".","."
"203","001","177","3.586","58.8","18.1","14.1","2.3","2.8","0.6","1.7",".",".",".",".",".","1.1","0.6",".","."
"205","001","115","3.091","11.3","34.8","34.8","11.3","3.5","2.6","1.7",".",".",".",".",".",".",".",".","."
"209","001","232","3.759","71.6","17.7","6.5","1.3","2.6",".","0.4",".",".",".",".",".",".",".",".","."
"252","001","37","3.139","21.6","27.0","35.1",".","5.4","8.1",".","2.7",".",".",".",".",".",".",".","."
"275","001","95","3.159","12.6","24.2","42.1","11.6","1.1",".","1.1","5.3",".",".",".",".","2.1",".",".","."
"275","002","11","3.545","45.5","18.2","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"275","003","26","3.792","80.8","7.7",".",".",".",".","3.8",".",".",".",".",".","7.7",".",".","."
"275","004","44","3.711","52.3","36.4","11.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Course Total","176","3.360","34.7","24.4","27.8","6.3","0.6",".","1.1","2.8",".",".",".",".","2.3",".",".","."
"299","056","1","***","","","","","","","","","",".",".",".",".",".",".","."
"338","001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
