"DESIGN STUDIES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","","","",""
"Design: Fundamentals I","120","001","","81","3.179","18.5","21.0","44.4","9.9","6.2",".",".",".",".",".",".",".",".",".",".","."
"Fabric & Apparel Structures I","153","001","","42","3.550","47.6","26.2","16.7","2.4",".",".","2.4","2.4",".",".",".",".","2.4",".",".","."
"Fabric & Apparel Structures II","154","001","","14","3.607","35.7","50.0","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fashion Illustration","210","001","","15","3.500","46.7","20.0","26.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Design: Fundamentals II","220","001","","19","3.789","63.2","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Person & Environ Interactions","221","001","","55","3.333","27.3","23.6","38.2","5.5","3.6",".",".","1.8",".",".",".",".",".",".",".","."
"Interior Architect Design","223","001","","22","3.205","22.7","22.7","31.8","18.2","4.5",".",".",".",".",".",".",".",".",".",".","."
"Apparel Design I","225","001","","8","3.833","50.0","25.0",".",".",".",".",".",".",".",".",".",".","25.0",".",".","."
"Textile Design: Weaving I","229","001","","15","3.833","73.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Patternmaking-Apparel Design","253","001","","11","3.455","27.3","36.4","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cloth to Clothing","319","001","","13","3.462","23.1","53.8","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Design: Sketching&Rendering","320","001","","13","3.769","69.2","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Interior Design II","322","001","","21","3.643","61.9","9.5","23.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"CAD: Architecture&Interiors","323","001","","14","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dsgn-Manual/Comptr Gen Imagery","327","001","","15","3.533","33.3","40.0","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Am Dec Arts & Int: 1620-1840","363","001","","19","3.447","31.6","26.3","42.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"European Interiors to 18 C","421","001","","16","3.375","43.8","25.0","25.0",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"History of Textiles","430","001","","23","3.326","30.4","30.4","21.7","8.7","8.7",".",".",".",".",".",".",".",".",".",".","."
"Color Theory and Technology","451","001","","12","2.864","16.7","8.3","41.7","16.7",".",".","8.3","8.3",".",".",".",".",".",".",".","."
"Dimensions of Material Culture","464","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","501","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","008","","9","3.444","55.6",".","33.3",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","501","009","","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","501","020","","11","3.273","63.6",".","18.2",".","9.1",".","9.1",".",".",".",".",".",".",".",".","."
"","501","021","","13","3.846","84.6",".","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","022","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","","91","3.801","84.6","2.2","8.8","1.1","2.2",".","1.1",".",".",".",".",".",".",".",".","."
"Textile:Spec & End Use Anal","561","001","","19","3.447","47.4","21.1","10.5","15.8","5.3",".",".",".",".",".",".",".",".",".",".","."
"","601","001","","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","601","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","","Course Total","","14","3.707","71.4",".","14.3","7.1",".",".",".","7.1",".",".",".",".",".",".",".","."
"Interior Design IV","623","001","","25","3.729","68.0","20.0","4.0",".",".","4.0",".",".",".",".",".",".","4.0",".",".","."
"Portfolio Preparation","624","001","","19","3.474","15.8","63.2","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Culture and Built Environment","639","001","","14","3.500","35.7","35.7","14.3",".","7.1",".",".","7.1",".",".",".",".",".",".",".","."
"Taste","642","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","032","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","","7","3.342","42.9","14.3","14.3",".","14.3",".",".",".",".",".",".",".","14.3",".",".","."
"","699","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","","7","3.962","71.4","14.3",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"","699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 14, 2013","","","","","","","","","","","","","","","","","","","","Page 145 of 403",""
