"MECHANICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"491","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","015","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"491","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"491","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","050","","9","3.739","55.6","22.2","11.1",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"491","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Mech Engr Projects I","Course Total","","29","3.831","72.4","10.3","6.9",".",".",".",".",".",".",".",".",".","10.3",".",".","."
"492
Mech Engr Projects II","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"510
Facilities Planning","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"513
Analysis-Capital Investment","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"514
Rapid Prototypng&Adv Manufctrn","001","","41","3.525","26.8","48.8","22.0",".",".",".",".","2.4",".",".",".",".",".",".",".","."
"525
Macromolecular Hydrodynamics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"549
Product Design","001","","26","3.519","26.9","57.7","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"561
Intermediate Thermodynamics","001","","37","3.086","16.2","21.6","24.3","27.0","5.4",".",".","2.7",".",".",".",".",".","2.7",".","."
"567
Solar Energy Technology","001","","25","2.980","12.0","16.0","48.0","12.0","8.0","4.0",".",".",".",".",".",".",".",".",".","."
"569
Applied Combustion","001","","13","3.385","23.1","46.2","15.4","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"572
Intermediate Gas Dynamics","001","","26","3.692","46.2","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"573
Computational Fluid Dynamcs","001","","29","3.914","82.8","17.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","001","","25","3.360","32.0","8.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","003","","18","3.694","44.4","50.0","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"601","006","","14","3.500","42.9","28.6","21.4",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Special Topics-Mech Engr","Course Total","","62","3.500","35.5","32.3","30.6",".","1.6",".",".",".",".",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","053","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","13","3.591","46.2","7.7","7.7",".","7.7",".",".","15.4",".",".",".","7.7",".",".","7.7","."
"708","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"708","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Composite Material","Course Total","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
