"BIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"205
BIOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","199","2.250","10.1","4.0","24.6","11.6","27.6","11.6","10.1",".",".",".",".",".",".",".",".","0.5"
"","101
002","131","2.357","13.7","1.5","24.4","9.2","32.1","11.5","6.1","0.8",".",".",".",".",".",".",".","0.8"
"Animal Biology","Course Total","330","2.292","11.5","3.0","24.5","10.6","29.4","11.5","8.5","0.3",".",".",".",".",".",".",".","0.6"
"","001
102","11","3.273","27.3","36.4","18.2",".","18.2",".",".",".",".",".",".",".",".",".",".","."
"","102
002","9","2.944","11.1","22.2","33.3","11.1","22.2",".",".",".",".",".",".",".",".",".",".","."
"","003
102","17","3.471","35.3","35.3","17.6","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","102
004","7","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
102","9","3.500","22.2","66.7",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","102
006","16","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
007","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
008","12","3.542","41.7","41.7","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","009
102","13","3.769","69.2","15.4","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
010","11","3.045",".","27.3","54.5","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","102
011","7","3.214",".","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","012
102","7","3.500","42.9","42.9",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","013
102","9","3.333","33.3","33.3","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","014
102","14","3.214","14.3","50.0","14.3","7.1","14.3",".",".",".",".",".",".",".",".",".",".","."
"","015
102","11","3.364","27.3","18.2","54.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
016","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
017","12","3.083","16.7","25.0","33.3","8.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"","102
018","13","3.346","38.5","15.4","23.1","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"","019
102","7","3.429","42.9",".","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
020","6","3.250","66.7","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","202","3.371","31.2","32.2","24.3","6.4","5.4",".","0.5",".",".",".",".",".",".",".",".","."
"General Botany","130
001","49","3.031","34.7","8.2","22.4","14.3","12.2","8.2",".",".",".",".",".",".",".",".",".","."
"","151
001","230","2.922","14.3","12.6","47.0","5.7","15.7","4.3","0.4",".",".",".",".",".",".",".",".","."
"","151
002","242","2.895","14.0","10.3","45.0","7.4","20.2","2.9",".",".",".",".",".",".",".",".",".","."
"","003
151","134","2.712","11.9","10.4","37.3","6.0","23.9","8.2","0.7",".",".",".",".",".",".",".",".","1.5"
"Introductory Biology","Course Total","606","2.865","13.7","11.2","44.1","6.4","19.3","4.6","0.3",".",".",".",".",".",".",".",".","0.3"
"Introductory Biology","152
001","216","3.296","36.1","12.5","33.8","6.5","7.9","0.5","0.5",".",".",".",".",".","1.4",".","0.9","."
"","260
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","260
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","260
003","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","260
004","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","260
005","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entering Research Part 1","Course Total","37","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Studies","Course Total","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".",".",".","10.0","."
"","375
002","19","3.429","47.4","26.3","10.5","5.3",".",".","5.3","5.3",".",".",".",".",".",".",".","."
"February 14, 2013","","","","","","","","","","","","","","","","","","Page 165 of 403",""
