"L&S","","","","","","","","","","","","","","","","","","","","",""
"","LANGUAGES & CULTURES OF A Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"521
LCA","","","","","","","","","","","","","","","","","","","","",""
"Islam Wrld:MidEast,500-1500","205","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","236","001","","13","3.636","46.2","15.4","23.1",".",".",".",".",".",".",".",".",".",".","15.4",".","."
"","236","002","","8","3.571","37.5","25.0","25.0",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Bascom Course","","Course Total","","21","3.611","42.9","19.0","23.8",".",".",".",".","4.8",".",".",".",".",".","9.5",".","."
"SE Asia:Vietnam to Philipns","244","001","","6","3.250","16.7","33.3","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Civs of India-Modern Period","252","001","","7","3.250","28.6","14.3","28.6",".","14.3",".",".","14.3",".",".",".",".",".",".",".","."
"Intro to the Middle East","266","001","","77","3.678","67.5","16.9","7.8",".","5.2",".","1.3","1.3",".",".",".",".",".",".",".","."
"Religion-Hist&Culture: East","273","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","300","001","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","002","","12","2.917","16.7","16.7","16.7","33.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"","300","003","","15","3.643","60.0","13.3","13.3",".","6.7",".",".",".",".",".",".",".","6.7",".",".","."
"Topics in LCA","","Course Total","","38","3.473","50.0","18.4","10.5","10.5","7.9",".",".",".",".",".",".",".","2.6",".",".","."
"Literatures of Central Asia","314","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Literatures-Muslim Societies","357","001","","17","3.588","41.2","35.3","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Jainism: Relig of Non-Violence","367","001","","29","3.517","34.5","55.2","3.4",".","3.4","3.4",".",".",".",".",".",".",".",".",".","."
"Islam: Religion and Culture","370","001","","12","3.773","50.0","41.7",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Cities of Asia","379","001","","6","2.250",".",".","16.7","33.3",".","16.7",".","33.3",".",".",".",".",".",".",".","."
"Modern Indonesian Literature","401","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Southeast Asian Literature","403","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Survey of Tibetan Buddhism","421","001","","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern India, 1860-1990","450","002","","10","3.459","30.0","40.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Hist Southeast Asia to 1800","457","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Capstone Smr-Asian Humanities","600","001","","20","3.475","25.0","50.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Studies in Religions of Asia","620","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Proseminar:Literatures of Asia","666","001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","799","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Religions of Asia","802","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","058","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","7","",".",".",".",".",".",".",".","57.1",".",".",".","28.6","14.3",".",".","."
