"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"OBS&GYN","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","2","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","6","3.912","83.3","16.7",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","8","3.932","87.5","12.5",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Special","1","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Graduate","73","3.979","98.6",".","1.4",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","79","3.373","26.6","24.1","39.2","3.8","1.3","",".","",".","",".","",".",".","",".","",".","1.3",".","1.3","2.5"
"Prof Yr 4","24","3.773","79.2","8.3","8.3","4.2",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Professionals","103","3.452","38.8","20.4","32.0","3.9","1.0","",".","",".","",".","",".",".","",".","",".","1.0",".","1.0","1.9"
