"","990
095","2","***","","","","","","","","","","",".",".",".",".",".",".","."
"","990
097","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"","990
098","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","52","",".",".",".",".",".",".","",".","73.1",".",".",".","9.6",".",".","17.3","."
"PATH
704","Dept. Total","222","3.550","27.5","7.2","13.1","0.9","1.4","0.5","",".","17.6",".","24.3",".","2.3","0.9",".","4.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3","3.167",".","33.3","66.7",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Sophomore","","17","3.265","35.3",".","52.9","5.9","5.9",".","",".",".",".",".",".",".",".",".",".","."
"Junior","","19","3.518","52.6","10.5","31.6",".","5.3",".","",".",".",".",".",".",".",".",".",".","."
"Senior","","25","3.535","68.0","4.0","16.0","4.0","4.0","4.0","",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","64","3.439","51.6","6.3","32.8","3.1","4.7","1.6","",".",".",".",".",".",".",".",".",".","."
"Special","","14","3.595","35.7","21.4","21.4",".",".",".","",".","7.1",".",".",".",".","14.3",".",".","."
"Graduate","","150","3.660","30.0","4.7","3.3",".",".",".","",".","24.0","2.7","26.7",".","3.3",".",".","4.7","."
"Prof Yr 2","","11","",".",".",".",".",".",".","",".",".",".","100.0",".",".",".",".",".","."
"Prof Yr 3","","17","3.857","47.1","11.8",".",".",".",".","",".","11.8",".","17.6",".",".",".",".","11.8","."
"Prof Yr 4","","5","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Professionals","","33","3.933","39.4","6.1",".",".",".",".","",".","6.1",".","42.4",".",".",".",".","6.1","."
"","Dept. Total","261","3.550","36.8","6.1","11.1","0.8","1.1","0.4","",".","14.9","1.5","20.7",".","1.9","0.8",".","3.4","."
