"700
ONCOLOGY","","","","","","","","","","","","","","","","","","","",""
"","990
040","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"","990
045","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","57","",".",".",".",".",".",".","",".","84.2",".",".",".","12.3",".",".","3.5","."
"ONCOLOGY
700","Dept. Total","217","3.605","46.1","6.5","9.7","5.5","2.3","0.5","",".","23.0","0.5",".",".","3.2","0.5","0.5","1.8","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"700
ONCOLOGY","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","3","4.000","33.3",".",".",".",".",".","",".",".","33.3",".",".",".",".","33.3",".","."
"Junior","","9","3.474","55.6","11.1",".","11.1",".","11.1","",".",".",".",".",".",".",".",".","11.1","."
"Senior","","63","3.366","41.3","9.5","25.4","9.5","7.9",".","",".","3.2",".",".",".",".","1.6",".","1.6","."
"Undergraduates","","75","3.389","42.7","9.3","21.3","9.3","6.7","1.3","",".","2.7","1.3",".",".",".","1.3","1.3","2.7","."
"Special","","6","3.300","50.0","16.7",".","33.3",".",".","",".",".",".",".",".",".",".",".",".","."
"Graduate","","131","3.809","47.3","4.6","3.8","2.3",".",".","",".","35.9",".",".",".","4.6",".",".","1.5","."
"Prof Yr 3","","3","4.000","66.7",".",".",".",".",".","",".",".",".",".",".","33.3",".",".",".","."
"Prof Yr 4","","2","4.000","50.0",".",".",".",".",".","",".","50.0",".",".",".",".",".",".",".","."
"Professionals","","5","4.000","60.0",".",".",".",".",".","",".","20.0",".",".",".","20.0",".",".",".","."
"","Dept. Total","217","3.605","46.1","6.5","9.7","5.5","2.3","0.5","",".","23.0","0.5",".",".","3.2","0.5","0.5","1.8","."
