"Lit Search Strategies&Analysis","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Biochm Genetics for Counselors","744
001","5","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Adv Pract-Genetic Counselng","813
005","5","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Research","990
049","4","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"MD GENET
616","Dept. Total","226","3.847","15.5","4.0","0.9",".","",".","",".","",".","76.5","",".",".","",".","",".","",".",".","2.2","0.9"
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"616
MD GENET","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","1","3.000",".",".","100.0",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","49","3.871","69.4","18.4","2.0",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","10.2","."
"Prof Yr 1","","174","",".",".",".",".","",".","",".","",".","98.9","",".",".","",".","",".","",".",".",".","1.1"
"Prof Yr 2","","1","",".",".",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Professionals","","175","",".",".",".",".","",".","",".","",".","98.9","",".",".","",".","",".","",".",".",".","1.1"
"","Dept. Total","226","3.847","15.5","4.0","0.9",".","",".","",".","",".","76.5","",".",".","",".","",".","",".",".","2.2","0.9"
