"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","","","",""
"AMN","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AIR FORCE AEROSPACE STUDI","Section","#","","Ave","A","AB","B","","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"102
A F AERO","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","101
001","","15","3.933","86.7","13.3","",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"","101
002","","19","3.947","89.5","10.5","",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"Foundations of US Air Force I","Course Total","","34","3.941","88.2","11.8","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Evolution of US Air & Space I","001
201","","24","3.917","83.3","16.7","",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"Leadership Studies I","303
001","","15","3.933","86.7","13.3","",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"National Security Affairs","401
001","","9","3.944","88.9","11.1","",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"A F AERO
102","Dept. Total","","82","3.935","86.6","13.4","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"102
A F AERO","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","17","3.971","94.1","5.9","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","17","3.971","94.1","5.9","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","29","3.906","79.3","20.7","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","14","3.941","85.7","14.3","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","77","3.934","87.0","13.0","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","5","3.944","80.0","20.0","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","82","3.935","86.6","13.4","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
