"SURGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","",""
"Radiographic Anat-Dog&Cat","501
001","","77","3.708","59.7","23.4","15.6","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"Diseases of Wildlife","548
001","","9","2.875","22.2",".","33.3",".","33.3",".",".",".",".",".",".",".","11.1",".",".","."
"Small Animal Surgery","630
001","","84","3.214","17.9","23.8","46.4","7.1","4.8",".",".",".",".",".",".",".",".",".",".","."
"Small Animal Surgery Lab","632
001","","84","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Small Animal Anesthesia Lab","634
001","","84","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Veterinary Radiology","638
001","","84","3.714","54.8","33.3","11.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","642
001","","31","4.000","9.7",".",".",".",".",".",".","90.3",".",".",".",".",".",".",".","."
"","642
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Large Animal Surgery","Course Total","","32","4.000","9.4",".",".",".",".",".",".","90.6",".",".",".",".",".",".",".","."
"Small Orthopedic Surgery","644
001","","16","4.000","37.5",".",".",".",".",".",".","62.5",".",".",".",".",".",".",".","."
"","645
001","","38","4.000","26.3",".",".",".",".",".",".","73.7",".",".",".",".",".",".",".","."
"","645
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Genrl Surgery","Course Total","","39","4.000","28.2",".",".",".",".",".",".","71.8",".",".",".",".",".",".",".","."
"Veterinary Anesthesiology","646
001","","28","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"Radiology Clinics","647
001","","31","4.000","19.4",".",".",".",".",".",".","80.6",".",".",".",".",".",".",".","."
"","675
001","","14","4.000","35.7",".",".",".",".",".",".","64.3",".",".",".",".",".",".",".","."
"","675
003","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
004","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","38","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"","699
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
033","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","","14","4.000","78.6",".",".",".",".",".",".","14.3",".",".",".",".",".",".","7.1","."
"Clinical Ophthalm Rotation","741
001","","23","4.000","56.5",".",".",".",".",".",".","43.5",".",".",".",".",".",".",".","."
"Adv Anesthlgy/Crit Care Med","743
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Dentistry & Oral Surg Rotation","748
001","","14","4.000","64.3",".",".",".",".",".",".","35.7",".",".",".",".",".",".",".","."
"","775
001","","16","",".",".",".",".",".",".",".","93.8",".",".",".",".",".",".","6.3","."
"","775
002","","9","",".",".",".",".",".",".",".","88.9",".",".",".",".",".",".","11.1","."
"","775
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","27","",".",".",".",".",".",".",".","92.6",".",".",".",".",".",".","7.4","."
"Rsch Ethics&Career Development","812
001","","40","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
