"EGR","","","","","","","","","","","","","","","","","","","",""
"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"M E
612","Dept. Total","2949","3.251","30.4","22.2","22.2","10.3","5.2","1.8","0.8","3.3","0.0",".","",".","3.2","0.4","0.1","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","12","3.286","33.3","25.0","25.0","8.3",".","8.3",".",".",".",".","",".",".",".",".",".","."
"Sophomore","","246","3.193","28.0","25.6","22.0","14.6","5.3","3.3","1.2",".",".",".","",".",".",".",".",".","."
"Junior","","718","3.143","25.5","23.4","25.6","15.0","6.3","1.7","1.9",".",".",".","",".",".","0.4","0.1",".","."
"Senior","","1284","3.174","26.2","24.0","28.3","10.7","6.8","2.5","0.5","0.4",".",".","",".",".","0.5","0.1",".","."
"Undergraduates","","2260","3.167","26.2","24.0","26.8","12.5","6.4","2.3","1.1","0.2",".",".","",".",".","0.4","0.1",".","."
"Special","","41","3.218","26.8","34.1","22.0","4.9","7.3","2.4","2.4",".",".",".","",".",".",".",".",".","."
"Graduate","","644","3.688","45.2","15.2","6.4","2.6","0.8",".",".","14.1","0.2",".","",".","14.6","0.3","0.2","0.5","."
"Prof Yr 2","","2","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Prof Yr 3","","2","3.000",".","50.0",".","50.0",".",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","","4","3.500","50.0","25.0",".","25.0",".",".",".",".",".",".","",".",".",".",".",".","."
"","Dept. Total","2949","3.251","30.4","22.2","22.2","10.3","5.2","1.8","0.8","3.3","0.0",".","",".","3.2","0.4","0.1","0.1","."
