"L&S","","","","","","","","","","","","","","","","","","",""
"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"","131
003","17","3.500","35.3","41.2","11.8","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"Math for Tchng:","Course Total","37","3.236","29.7","21.6","24.3","8.1","13.5",".",".",".",".",".",".",".","2.7",".",".","."
"","132
002","22","3.159","13.6","27.3","45.5","4.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"","003
132","16","3.250","31.3","25.0","25.0","12.5",".","6.3",".",".",".",".",".",".",".",".",".","."
"Prob Solvng: Alg, Prob & Stats","Course Total","38","3.197","21.1","26.3","36.8","7.9","5.3","2.6",".",".",".",".",".",".",".",".",".","."
"Pre-calc&Calc-Mid Schl Teachrs","136
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","141
001","62","3.024","21.0","19.4","25.8","17.7","14.5",".","1.6",".",".",".",".",".",".",".",".","."
"","141
002","59","3.025","23.7","15.3","23.7","20.3","15.3","1.7",".",".",".",".",".",".",".",".",".","."
"Quant Reasoning&Prob Solvng","Course Total","121","3.025","22.3","17.4","24.8","19.0","14.9","0.8","0.8",".",".",".",".",".",".",".",".","."
"","001
171","217","2.747","21.7","10.6","23.5","10.1","22.1","8.3","2.8",".",".",".",".",".","0.5",".",".","0.5"
"","002
171","249","2.597","12.9","10.8","24.5","16.1","24.1","6.4","4.4",".",".",".",".",".","0.4",".","0.4","."
"Calc with Algebra & Trig I","Course Total","466","2.667","17.0","10.7","24.0","13.3","23.2","7.3","3.6",".",".",".",".",".","0.4",".","0.2","0.2"
"Topics-Finite Mathematics","210
001","31","2.548","25.8","6.5","22.6","6.5","22.6",".","16.1",".",".",".",".",".",".",".",".","."
"","211
001","225","2.922","23.1","17.3","24.4","12.4","12.9","7.6","1.8",".",".",".",".",".","0.4",".",".","."
"","211
002","185","2.816","15.7","21.6","20.5","15.1","18.4","7.0","1.6",".",".",".",".",".",".",".",".","."
"Calculus","Course Total","410","2.874","19.8","19.3","22.7","13.7","15.4","7.3","1.7",".",".",".",".",".","0.2",".",".","."
"Calc/Intro-Differntl Equats","001
213","190","2.733","25.3","6.3","24.2","7.4","21.6","11.6","2.1",".",".",".",".",".","1.6",".",".","."
"","221
001","338","3.237","24.6","32.0","24.0","9.2","7.4","1.2","0.9","0.6",".",".",".",".",".",".","0.3","."
"","221
002","276","2.889","17.0","10.9","40.6","13.4","12.3","1.8","3.6",".",".",".",".",".","0.4",".",".","."
"","221
003","260","2.942","18.1","13.5","31.2","21.9","12.3","1.9","1.2",".",".",".",".",".",".",".",".","."
"","221
005","303","2.978","24.1","11.9","25.1","20.8","14.5","2.6","0.7",".",".",".",".",".",".",".","0.3","."
"","006
221","216","2.772","10.2","17.1","37.0","12.5","13.9","5.1","3.7",".",".",".",".",".",".","0.5",".","."
"Calculus&Analytic Geometry 1","Course Total","1393","2.984","19.5","17.7","30.9","15.4","11.8","2.4","1.9","0.1",".",".",".",".","0.1","0.1","0.1","."
"","222
001","224","2.660","17.9","11.2","25.9","9.8","18.8","13.4","2.2",".",".",".",".",".","0.4",".","0.4","."
"","222
002","224","2.953","21.4","17.4","21.4","17.4","11.6","4.5","1.8",".",".",".",".",".","4.5",".",".","."
"","003
222","203","2.291","15.3","7.9","15.8","12.3","23.2","13.8","10.8","0.5","0.5",".",".",".",".",".",".","."
"","222
004","233","2.857","19.7","17.2","19.7","16.7","16.3","5.6","2.1",".",".",".",".",".","2.6",".",".","."
"Calculus&Analytic Geometry 2","Course Total","884","2.698","18.7","13.6","20.8","14.1","17.3","9.2","4.1","0.1","0.1",".",".",".","1.9",".","0.1","."
"","234
001","137","3.224","32.8","13.9","30.7","5.1","15.3",".",".",".",".",".",".",".","2.2",".",".","."
