"INTERDIS COURSES (L & S)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","",""
"1st-Yr Seminar: Biological Sci","101
001","21","3.810","71.4","19.0","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
001","19","3.500","31.6","42.1","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","18","3.083","27.8","11.1","33.3","5.6","22.2",".",".",".",".",".",".",".",".",".",".","."
"","102
003","18","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1st-Yr Seminar: Humanities","Course Total","55","3.436","34.5","36.4","18.2","3.6","7.3",".",".",".",".",".",".",".",".",".",".","."
"","106
002","18","3.944","94.4",".","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","106
003","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1st-Yr Seminar: Social Sci","Course Total","38","3.974","97.4",".","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"1st-Yr Smr: Humanities&Soc Sci","110
001","16","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1st-Yr Smr: Soc Sci, Ethnic St","118
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
001","16","4.000","93.8",".",".",".",".",".",".",".",".",".",".",".",".",".","6.3","."
"","250
002","14","3.833","78.6","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","250
003","13","3.852","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
004","14","3.828","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
005","15","3.929","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
006","15","3.864","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
250","15","3.970","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
008","16","3.972","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
009","15","3.889","86.7",".","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Research Experience","Course Total","133","3.906","85.7","9.0","3.8","0.8",".",".",".",".",".",".",".",".",".",".","0.8","."
"Intrnshp in Liberal Arts & Sci","260
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Paradigms&Process-Acad Inquiry","315
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Writng Across Curriculm","316
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"L&S Junior/Senior Seminar","400
001","14","4.000","92.9",".",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"INTER-LS
502","Dept. Total","317","3.810","77.0","14.5","5.7","0.9","1.3",".",".","0.3",".",".",".",".",".",".","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","",""
"Freshmen","","184","3.737","67.9","19.0","8.7","1.6","2.2",".",".",".",".",".",".",".",".",".","0.5","."
"Sophomore","","60","3.908","85.0","11.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Junior","","50","3.957","92.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior","","22","4.000","95.5",".",".",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"Undergraduates","","316","3.809","76.9","14.6","5.7","0.9","1.3",".",".","0.3",".",".",".",".",".",".","0.3","."
"Special","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","317","3.810","77.0","14.5","5.7","0.9","1.3",".",".","0.3",".",".",".",".",".",".","0.3","."
