"L&S","","","","","","","","","","","","","","","","","","","","",""
"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","","",""
"SOC
900","Dept. Total","3494","3.242","31.5","22.4","18.8","9.6","7.6","1.9","0.9","5.4","",".","0.5","",".","0.3","1.0",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","646","3.038","19.5","23.1","26.9","15.2","10.8","2.0","1.4",".","",".",".","",".",".","1.1",".",".","."
"Sophomore","","677","3.252","32.1","25.0","22.5","9.7","7.8","2.1","0.9",".","",".",".","",".",".",".",".",".","."
"Junior","","803","3.294","36.0","25.0","17.8","10.3","7.2","2.1","0.9",".","",".",".","",".",".","0.5",".","0.1","."
"Senior","","925","3.250","34.4","24.2","18.8","9.0","8.5","2.6","1.0",".","",".","0.2","",".","0.3","1.0",".",".","."
"Undergraduates","","3051","3.213","31.1","24.4","21.1","10.8","8.5","2.2","1.0",".","",".","0.1","",".","0.1","0.7",".","0.0","."
"Special","","29","3.221","34.5","13.8","10.3","13.8","13.8",".",".","10.3","",".",".","",".",".",".",".","3.4","."
"Graduate","","411","3.816","34.1","8.8","2.9","0.2","0.2",".",".","45.0","",".","3.4","",".","1.5","3.6",".","0.2","."
"Prof Yr 4","","3","3.813","66.7","33.3",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","3","3.813","66.7","33.3",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","3494","3.242","31.5","22.4","18.8","9.6","7.6","1.9","0.9","5.4","",".","0.5","",".","0.3","1.0",".","0.1","."
