"NEUROSCIENCE TRAINING PRO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"682
NEUROSCI","","","","","","","","","","","","","","","","","","","",""
"500
Undergrad Neurobiology Seminar","001","","35","3.986","97.1","2.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"523
Neurobiology","001","","121","3.396","35.5","33.1","19.8","2.5","5.0","3.3",".",".",".",".",".",".","0.8",".",".","."
"555
Lab-Developmental Biology","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"610
Cellular&Molecular Neurosci","001","","38","3.432","34.2","21.1","36.8","5.3",".",".",".",".",".",".",".",".",".",".","2.6","."
"619
Biology of Mind","001","","6","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"620
Neuroethology Seminar","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"625
Brain Cell Cultres&Imagng:Lab","001","","11","3.800","63.6","18.2","9.1",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"629
Molec & Cellular Mech-Memory","001","","36","3.629","38.9","47.2","8.3","2.8",".",".",".","2.8",".",".",".",".",".",".",".","."
"660
Neuroscience & Public Policy","001","","10","3.962","80.0","10.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"675","019","","20","3.872","80.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","020","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","027","","7","3.800","57.1",".","14.3",".",".",".",".",".",".",".",".",".","28.6",".",".","."
"Special Topics","Course Total","","38","3.874","76.3","13.2","5.3",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"681","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"682
Senior Honors Thesis","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691
Undergraduate Thesis","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","069","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","080","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","085","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","086","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","090","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","091","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","098","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","099","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 14, 2013","","","","","","","","","","","","","","","","","","","Page 356 of 403",""
