"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"The Musical Experience","101
001","78","3.357","14.1","50.0","28.2","5.1","1.3",".",".","1.3",".",".",".",".",".",".",".","."
"Intro-Mus Cult of the World","103
001","33","3.683","60.6","15.2","6.1","6.1","3.0",".",".","3.0",".",".",".",".",".",".","6.1","."
"The Symphony","106
001","72","3.207","30.6","16.7","30.6","4.2","13.9","1.4",".","2.8",".",".",".",".",".",".",".","."
"","113
001","571","3.968","95.8","2.8","1.1",".",".",".","0.2","0.2",".",".",".",".",".",".",".","."
"","113
002","111","",".",".",".",".",".",".",".","97.3",".",".",".",".",".",".","2.7","."
"Music in Performance","Course Total","682","3.968","80.2","2.3","0.9",".",".",".","0.1","16.0",".",".",".",".",".",".","0.4","."
"","121
001","17","3.059",".","41.2","47.1","5.9",".","5.9",".",".",".",".",".",".",".",".",".","."
"","002
121","27","3.352","25.9","25.9","40.7","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Practica 1","Course Total","44","3.239","15.9","31.8","43.2","6.8",".","2.3",".",".",".",".",".",".",".",".",".","."
"","151
001","33","3.672","54.5","24.2","15.2","3.0",".",".",".",".",".",".",".",".",".","3.0",".","."
"","151
002","51","3.127","23.5","29.4","27.5","7.8","5.9","2.0","3.9",".",".",".",".",".",".",".",".","."
"","151
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","151
004","15","3.714","60.0","20.0","6.7","6.7",".",".",".","6.7",".",".",".",".",".",".",".","."
"Basic Concepts-Music Theory","Course Total","100","3.378","39.0","26.0","20.0","6.0","4.0","1.0","2.0","1.0",".",".",".",".",".","1.0",".","."
"","171
101","8","3.500","37.5","25.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","171
102","9","3.500","44.4","33.3","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","103
171","9","3.444","22.2","44.4","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","171
104","9","3.611","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
171","9","3.444","33.3","22.2","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 1","Course Total","44","3.500","36.4","31.8","29.5",".","2.3",".",".",".",".",".",".",".",".",".",".","."
"The Big Bands","205
001","299","3.491","39.5","27.8","20.4","4.3","4.0",".",".","1.3",".",".",".",".",".","2.7",".","."
"Survey-Hist Western Music","211
001","47","3.228","38.3","10.6","27.7","8.5","8.5","4.3",".",".",".",".",".",".","2.1",".",".","."
"","001
221","22","3.432","27.3","31.8","40.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","221
002","23","3.522","39.1","30.4","26.1","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Practica 3","Course Total","45","3.478","33.3","31.1","33.3","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"","253
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","253
002","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Conducting","Course Total","14","3.643","78.6","14.3",".",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"University Opera","256
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Opera Workshop","257
001","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Jazz Ensemble","Course Total","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
001","36","3.931","94.4","2.8",".",".","2.8",".",".",".",".",".",".",".",".",".",".","."
"","264
002","16","3.844","87.5","6.3",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Ensemble: Wisconsin Singers","Course Total","52","3.904","92.3","3.8",".",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"","265
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","265
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","265
010","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Woodwind","Course Total","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Black Music Ensemble","266
001","17","4.000","94.1",".",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","267
002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
