"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"","301
001","142","3.894","82.4","13.4","2.8","0.7",".",".",".",".",".",".",".",".",".",".","0.7","."
"","301
002","31","3.984","96.8","3.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
003","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
004","22","3.636","59.1","36.4",".",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"Human Abilities & Learning","Course Total","225","3.895","84.4","12.4","1.8","0.4",".",".","0.4",".",".",".",".",".",".",".","0.4","."
"","001
320","89","3.303","21.3","37.1","25.8","12.4","3.4",".",".",".",".",".",".",".",".",".",".","."
"","002
320","134","3.675","64.2","20.1","8.2","6.0",".","0.7","0.7",".",".",".",".",".",".",".",".","."
"Human Dev-Infancy&Childhood","Course Total","223","3.527","47.1","26.9","15.2","8.5","1.3","0.4","0.4",".",".",".",".",".",".",".",".","."
"Human Develop-Adolescence","321
001","108","3.486","33.3","38.9","19.4","5.6","1.9",".",".","0.9",".",".",".",".",".",".",".","."
"","506
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
506","13","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","506
004","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
005","10","3.800","80.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Issues in Ed Psych","Course Total","45","3.886","84.4","6.7","4.4","2.2",".",".",".",".",".",".",".",".","2.2",".",".","."
"","521
001","30","3.733","56.7","33.3","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","521
002","31","3.984","96.8","3.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adolscnt Develp-Educ Contxt","Course Total","61","3.861","77.0","18.0","4.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Prof School Psych","540
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biological Basis of Behavior","542
001","18","3.639","55.6","27.8","11.1",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Found of Ed Measurement","570
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
013","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
014","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
029","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
054","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading-Undergrad","Course Total","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Research in Ed Psych I","709
001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
002","36","3.903","86.1","8.3","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
003","16","4.000","87.5",".",".",".",".",".",".","6.3",".",".",".",".","6.3",".",".","."
"","004
711","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics-Ed Psych","Course Total","73","3.943","89.0","5.5","2.7",".",".",".",".","1.4",".",".",".",".","1.4",".",".","."
"Intro to Qualitative Research","719
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Child Development","720
001","17","3.618","23.5","76.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory & Issues-Human Dev","725
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Socl, Emotionl&Behav Assessmnt","741
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assessment of Acad Skill Probs","742
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
001","34","3.824","70.6","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
002","29","3.810","72.4","17.2","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth Appl to Educ I","Course Total","63","3.817","71.4","20.6","7.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro: Dsgn-Ed Experiments","762
001","28","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
