"L&S","","","","","","","","","","","","","","","","","","","","",""
"ZOOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","","","",""
"ZOOLOGY
970","Dept. Total","2440","3.031","29.4","13.0","28.4","7.3","13.4","4.4","0.9","1.8","",".","0.2","",".","0.9","0.2",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","148","2.635","13.5","10.8","32.4","10.1","23.6","6.8","2.7",".","",".",".","",".",".",".",".",".","."
"Sophomore","","588","2.811","19.0","11.6","34.9","9.4","18.5","5.3","1.2",".","",".",".","",".",".","0.2",".",".","."
"Junior","","577","3.014","28.9","11.4","30.7","7.3","15.3","5.0","0.9",".","",".",".","",".",".","0.3",".","0.2","."
"Senior","","940","3.195","35.0","16.9","26.1","6.7","9.6","3.9","0.7",".","",".","0.5","",".","0.3","0.1",".","0.1","."
"Undergraduates","","2253","3.010","27.9","13.7","30.0","7.8","14.3","4.7","1.0",".","",".","0.2","",".","0.1","0.2",".","0.1","."
"Special","","26","3.552","53.8","15.4","23.1",".","3.8",".",".","3.8","",".",".","",".",".",".",".",".","."
"Graduate","","157","3.615","47.1","3.2","8.3","1.3","1.9",".",".","26.1","",".",".","",".","11.5",".",".","0.6","."
"Prof Yr 3","","3","3.000","33.3",".",".",".","33.3",".",".","33.3","",".",".","",".",".",".",".",".","."
"Prof Yr 4","","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"Professionals","","4","3.000","25.0",".",".",".","25.0",".",".","50.0","",".",".","",".",".",".",".",".","."
"","Dept. Total","2440","3.031","29.4","13.0","28.4","7.3","13.4","4.4","0.9","1.8","",".","0.2","",".","0.9","0.2",".","0.1","."
