"Tech:Computer-Based Bus Sys","371
001","","9","3.563","44.4","33.3",".",".","11.1",".","",".","",".","",".","",".",".","",".","","11.1",".",".","."
"Computer-Based Data Mgt","422
002","","5","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"E-Bus:Technol, Strategy & Appl","671
001","","3","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Contemporary Topics","765
001","","22","3.955","95.5",".","4.5",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".","."
"INFO SYS
234","Dept. Total","","51","3.870","80.4","13.7","2.0",".","2.0","",".","",".","",".","",".",".","",".","",".","2.0",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"234
INFO SYS","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","2","3.750","50.0","50.0",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Junior","","","4","3.875","75.0","25.0",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","","15","3.893","73.3","20.0",".",".",".","",".","",".","",".","",".",".","",".","",".","6.7",".",".","."
"Undergraduates","","","21","3.875","71.4","23.8",".",".",".","",".","",".","",".","",".",".","",".","",".","4.8",".",".","."
"Special","","","4","3.375","50.0","25.0",".",".","25.0","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Graduate","","","26","3.942","92.3","3.8","3.8",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","","51","3.870","80.4","13.7","2.0",".","2.0","",".","",".","",".","",".",".","",".","",".","2.0",".",".","."
