"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"","800
015","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
021","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
022","10","3.579","20.0","70.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
023","13","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","024
800","12","3.818","58.3","33.3",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"","800
025","12","3.583","41.7","33.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
026","8","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","027
800","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
028","11","3.750","45.5","45.5",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Field Prac/Integrat Smr III","Course Total","164","3.830","65.9","23.2","6.1",".",".",".",".",".",".",".",".",".","4.9",".",".","."
"Field Pract/Integrat Smr IV","801
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","835
001","15","3.786","53.3","40.0",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","835
002","19","3.611","36.8","42.1","15.8",".",".",".",".",".",".",".",".",".",".",".","5.3","."
"Adv Soc Work Pract-Mental Hlth","Course Total","34","3.688","44.1","41.2","8.8",".",".",".",".",".",".",".",".",".","2.9",".","2.9","."
"","836
001","23","3.500","34.8","43.5","13.0","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"","836
002","26","3.327","15.4","46.2","26.9","11.5",".",".",".",".",".",".",".",".",".",".",".","."
"Mental Hlth Policies&Services","Course Total","49","3.408","24.5","44.9","20.4","8.2","2.0",".",".",".",".",".",".",".",".",".",".","."
"","840
001","22","3.909","86.4","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
002","26","3.840","65.4","30.8",".",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"Advanced Macro Practice","Course Total","48","3.872","75.0","20.8","2.1",".",".",".",".",".",".",".",".",".","2.1",".",".","."
"","870
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","870
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Interventn-Mental Illness","Course Total","8","3.571","50.0","25.0",".",".","12.5",".",".",".",".",".",".",".",".",".","12.5","."
"Adv Prac-Hlth, Aging, Disablty","874
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth, Aging, Disably Pol&Serv","001
875","18","3.694","38.9","61.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","920
001","23","3.739","47.8","52.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","920
002","16","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","920
003","16","3.375","18.8","43.8","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Chld, Youth, Fam Pol&Services","Course Total","55","3.636","40.0","49.1","9.1","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"Child Welfare","921
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Violence","923
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Faculty Research Seminar","946
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Proseminar","949
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"PhD Proseminar","950
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
029","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
032","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
040","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
051","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis-Research","Course Total","12","",".",".",".",".",".",".",".","58.3",".",".",".","41.7",".",".",".","."
"","999
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
013","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 14, 2013","","","","","","","","","","","","","","","","","","Page 298 of 403",""
