"Community Psy Clerk-CSC/MHC","925
041","","1","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","946
002","","1","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","946
043","","1","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Child Psych Clerk-CSC","Course Total","","2","***","","","","","","","","","","","","","","","","","","","","","","",""
"PSYCHIAT
814","Dept. Total","","22","3.620","45.5","36.4","13.6",".","",".","",".","",".","",".","",".",".","",".","",".","4.5",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"814
PSYCHIAT","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","1","3.500",".","100.0",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","","5","4.000","80.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","20.0",".",".","."
"Undergraduates","","","6","3.917","66.7","16.7",".",".","",".","",".","",".","",".","",".",".","",".","",".","16.7",".",".","."
"Graduate","","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","","","10","3.400","10.0","60.0","30.0",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","","","5","3.875","80.0","20.0",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Professionals","","","15","3.536","33.3","46.7","20.0",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","","22","3.620","45.5","36.4","13.6",".","",".","",".","",".","",".","",".",".","",".","",".","4.5",".",".","."
