"PORTUGUESE (SPANISH & POR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","","",""
"","101
001","","11","3.450","45.5",".","36.4","9.1",".",".",".",".",".",".",".",".","9.1",".",".","."
"","101
002","","16","3.267","37.5","12.5","18.8","12.5","12.5",".",".",".",".",".",".",".","6.3",".",".","."
"","101
003","","16","2.844","25.0","18.8","25.0","12.5","6.3",".","12.5",".",".",".",".",".",".",".",".","."
"","101
004","","15","3.400","40.0",".","60.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
101","","18","2.639","22.2","11.1","5.6","16.7","33.3","11.1",".",".",".",".",".",".",".",".",".","."
"1st Semester Portuguese","Course Total","","76","3.074","32.9","9.2","27.6","10.5","11.8","2.6","2.6",".",".",".",".",".","2.6",".",".","."
"","201
001","","15","3.633","60.0","6.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
002","","17","3.647","64.7","5.9","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"3rd Semester Portuguese","Course Total","","32","3.641","62.5","6.3","28.1","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Luso-Brazilian Lits","221
001","","10","3.278","20.0","10.0","60.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"3rd Yr Conversatn & Compositn","225
001","","21","3.548","42.9","33.3","14.3","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"Intensive Portuguese","301
001","","22","3.553","54.5","9.1","9.1","4.5","9.1",".",".","13.6",".",".",".",".",".",".",".","."
"4th Yr Compositn & Conversatn","311
001","","12","3.727","58.3","16.7","16.7",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"History of Portuguese Language","330
001","","9","3.563","44.4","11.1","33.3",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Intro to Romance Languages","429
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Survey-Port Lit since 1825","467
001","","7","3.417","28.6","14.3","42.9",".",".",".",".",".",".",".",".",".",".",".","14.3","."
"Seminar: Brazilian Literature","751
001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
