"Intermediate Greek","","","","","","","","","","","","","","","","","","","","","","","","",""
"Homer","510
001","","12","3.955","83.3","8.3",".",".","",".",".",".","",".",".","",".",".","",".","","8.3",".",".","."
"Directed Study","699
022","","4","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Individual Research Thesis","890
002","","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"GREEK
428","Dept. Total","","70","3.608","57.1","17.1","12.9","5.7","",".","1.4","",".","2.9","",".",".","",".","",".","2.9",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"428
GREEK","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","6","3.304","33.3","16.7","33.3","16.7","",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","","6","3.413","16.7","50.0","33.3",".","",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","","17","3.558","70.6",".","17.6","5.9","",".","5.9","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","","21","3.590","52.4","23.8","9.5","9.5","",".",".","",".","4.8","",".",".","",".","",".",".",".",".","."
"Undergraduates","","","50","3.517","52.0","18.0","18.0","8.0","",".","2.0","",".","2.0","",".",".","",".","",".",".",".",".","."
"Special","","","3","3.818","66.7","33.3",".",".","",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","","","17","3.929","70.6","11.8",".",".","",".",".","",".","5.9","",".",".","",".","",".","11.8",".",".","."
"","Dept. Total","","70","3.608","57.1","17.1","12.9","5.7","",".","1.4","",".","2.9","",".",".","",".","",".","2.9",".",".","."
