"EDU","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ART EDUCATION (DEPT OF ART) Section","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","","","","","","","",""
"323
001
Art in Elementary Education","","10","4.000","90.0",".",".",".","",".",".","",".","",".","",".","",".",".","",".","","10.0",".",".","."
"324
002
Art in Secondary Education","","11","3.813","54.5","9.1","9.1",".","",".",".","",".","",".","",".","",".",".","",".","","27.3",".",".","."
"470
001
Practicum in Elem School Art","","10","4.000","90.0",".",".",".","",".",".","",".","",".","",".","",".",".","",".","","10.0",".",".","."
"493
001
Practicum-Secondary School Art","","10","4.000","80.0",".",".",".","",".",".","",".","",".","",".","",".",".","",".","","20.0",".",".","."
"557
001
Learning Through Design","","2","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"951
001","","2","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"951
002","","1","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Course Total
Seminar in Art Education","","3","***","","","","","","","","","","","","","","","","","","","","","","",""
"ART ED
Dept. Total
176","","46","3.962","80.4","2.2","2.2",".","",".","",".","",".","",".","",".",".","",".","",".","15.2",".",".","."
"Summary by Level","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","37","3.983","78.4","2.7",".",".","",".","",".","",".","",".","",".",".","",".","",".","18.9",".",".","."
"Undergraduates","","37","3.983","78.4","2.7",".",".","",".","",".","",".","",".","",".",".","",".","",".","18.9",".",".","."
"Special","","6","3.833","83.3",".","16.7",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Graduate","","3","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Dept. Total","","46","3.962","80.4","2.2","2.2",".","",".","",".","",".","",".","",".",".","",".","",".","15.2",".",".","."
