"DAIRY SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"292
DY SCI","","","","","","","","","","","","","","","","","","","",""
"101
Livestock Production","001","","29","3.552","51.7","20.7","20.7",".","6.9",".",".",".",".",".",".",".",".",".",".","."
"272
Pre-Capstone Seminar","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","004","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","005","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","006","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","026","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"305
Lactation","001","","21","3.350","47.6","4.8","23.8","4.8","14.3",".",".",".",".",".",".",".","4.8",".",".","."
"370
Livestck Prod&Hlth-Ag Dvlpm","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","026","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","18","3.988","88.9","5.6",".",".",".",".",".",".",".",".",".",".",".",".","5.6","."
"414
Ruminant Nutrition","001","","17","3.000","5.9","35.3","17.6","23.5","11.8",".",".",".",".",".",".",".","5.9",".",".","."
"434
Reproductive Physiology","001","","9","2.889",".","22.2","33.3","44.4",".",".",".",".",".",".",".",".",".",".",".","."
"690
Proseminar","001","","15","3.700","46.7","46.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Dairy Science Tchng","Course Total","","2","***","","","","","","","","","","","","","","","",""
"875","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"875","002","","10","3.500","40.0","20.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","13","3.552","46.2","23.1","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","011","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"951
Seminar in Animal Breeding","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 14, 2013","","","","","","","","","","","","","","","","","","","","Page 16 of 403"
