"INTERDIS COURSES (SOHE)","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"498
INTER-HE","","","","","","","","","","","","","","","","","","","",""
"299","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"300
Nonprofit Sector: Overview","001","","21","3.024","23.8","23.8","14.3","28.6",".","9.5",".",".",".",".",".",".",".",".",".","."
"345
Strategic Plan-Nonprofit Orgs","001","","39","3.705","61.5","23.1","10.3","5.1",".",".",".",".",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","001","","22","3.963","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"428
Prgm Planning-Fam&Consmr Ed","001","","35","3.600","62.9","14.3","14.3","2.9","2.9","2.9",".",".",".",".",".",".",".",".",".","."
"430
Stdt Teach-Fam & Consumer Educ","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"460
Leadership&Mgt-Nonprofit Orgs","001","","20","3.684","50.0","35.0","5.0","5.0",".",".",".",".",".",".",".",".","5.0",".",".","."
"501","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"501","008","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Special Topics","Course Total","","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"560
Community Leadershp","001","","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"650
Parent Educ & Support Programs","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"660
Foundations of Educ for Work","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"661
Org&Oper-Educ for Work Progrms","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","054","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","12","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"793
Research Methods","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"999","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
