"BUS","","","","","","","","","","","","","","","","","","",""
"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"","300
001","222","2.865","14.9","11.7","32.4","14.9","23.0","1.8",".",".",".",".",".",".",".",".","1.4","."
"","300
002","129","2.781","15.5","13.2","26.4","13.2","27.1","1.6","2.3",".",".",".",".",".",".",".","0.8","."
"Introduction to Finance","Course Total","351","2.834","15.1","12.3","30.2","14.2","24.5","1.7","0.9",".",".",".",".",".",".",".","1.1","."
"","305
001","23","3.159","30.4","4.3","39.1","8.7","13.0",".",".","4.3",".",".",".",".",".",".",".","."
"","305
002","22","2.977","22.7","9.1","31.8","13.6","22.7",".",".",".",".",".",".",".",".",".",".","."
"","305
003","14","3.250","28.6","21.4","35.7",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Finc Mrkts,Instns&Econ Actv","Course Total","59","3.112","27.1","10.2","35.6","8.5","16.9",".",".","1.7",".",".",".",".",".",".",".","."
"","320
001","31","2.790","6.5","9.7","41.9","25.8","12.9","3.2",".",".",".",".",".",".",".",".",".","."
"","320
002","38","2.934","15.8","7.9","31.6","36.8","7.9",".",".",".",".",".",".",".",".",".",".","."
"","003
320","18","3.118","22.2","16.7","22.2","27.8","5.6",".",".","5.6",".",".",".",".",".",".",".","."
"","320
004","41","3.329","34.1","19.5","29.3","12.2","4.9",".",".",".",".",".",".",".",".",".",".","."
"Investment Theory","Course Total","128","3.051","20.3","13.3","32.0","25.0","7.8","0.8",".","0.8",".",".",".",".",".",".",".","."
"","325
001","41","3.293","31.7","14.6","41.5","4.9","7.3",".",".",".",".",".",".",".",".",".",".","."
"","325
002","46","3.315","26.1","17.4","52.2","2.2","2.2",".",".",".",".",".",".",".",".",".",".","."
"","003
325","21","3.310","33.3","9.5","47.6","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"Corporation Finance","Course Total","108","3.306","29.6","14.8","47.2","3.7","4.6",".",".",".",".",".",".",".",".",".",".","."
"","330
001","43","3.267","32.6","23.3","16.3","20.9","7.0",".",".",".",".",".",".",".",".",".",".","."
"","330
002","50","3.330","28.0","32.0","24.0","10.0","6.0",".",".",".",".",".",".",".",".",".",".","."
"","003
330","43","3.233","20.9","27.9","32.6","14.0","4.7",".",".",".",".",".",".",".",".",".",".","."
"Derivative Securities","Course Total","136","3.279","27.2","27.9","24.3","14.7","5.9",".",".",".",".",".",".",".",".",".",".","."
"","365
001","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bank Management","410
001","92","3.330","17.4","38.0","38.0","3.3","2.2",".",".",".",".",".",".",".","1.1",".",".","."
"Investmt Bankg & Capital Mrkts","420
001","18","3.694","55.6","27.8","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","445
001","31","3.694","54.8","29.0","16.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
001","46","3.543","37.0","37.0","23.9","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"","002
700","48","3.552","29.2","52.1","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","030
700","47","3.521","36.2","31.9","31.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Financial Mgmnt","Course Total","141","3.539","34.0","40.4","24.8","0.7",".",".",".",".",".",".",".",".",".",".",".","."
"Corporatn Finance Thry&Prac","725
031","38","3.658","47.4","36.8","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Appl Security Analyss","735
001","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mergers and Acquisitions","750
001","29","3.500","24.1","48.3","24.1",".",".",".",".",".",".",".",".",".",".","3.4",".","."
"","757
001","42","3.866","71.4","26.2",".",".",".",".",".","2.4",".",".",".",".",".",".",".","."
"","757
030","52","3.529","36.5","34.6","26.9","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Finance","Course Total","94","3.677","52.1","30.9","14.9","1.1",".",".",".","1.1",".",".",".",".",".",".",".","."
"","765
001","16","3.933","81.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","6.3","."
"","765
002","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","28","3.897","78.6","17.9",".",".",".",".",".",".",".",".",".",".",".",".","3.6","."
"Reading & Research-Finance","799
059","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Security Anal&Invstmt Mgt 1","835
001","13","3.731","53.8","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Corporate Finance I","850
001","14","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics Seminar-Finance PhD","972
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
