"ITALIAN (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","",""
"","101
001","18","3.889","88.9","5.6",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","101
003","22","3.341","31.8","27.3","22.7","13.6","4.5",".",".",".",".",".",".",".",".",".",".","."
"","101
006","22","3.705","63.6","13.6","22.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
007","21","3.447","28.6","28.6","28.6","4.8",".",".",".","9.5",".",".",".",".",".",".",".","."
"","008
101","24","3.646","54.2","29.2","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","009
101","16","3.750","56.3","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","012
101","18","3.588","33.3","44.4","16.7",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"","101
014","20","3.350","35.0","45.0","5.0","5.0",".","10.0",".",".",".",".",".",".",".",".",".","."
"","101
016","22","3.682","59.1","27.3","9.1",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","101
017","10","3.550","60.0","10.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"First Semester Italian","Course Total","193","3.592","50.3","27.5","14.0","4.1","1.6","1.0",".","1.6",".",".",".",".",".",".",".","."
"","102
002","20","3.500","55.0","20.0","20.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","102
003","21","3.286","28.6","23.8","28.6","14.3","4.8",".",".",".",".",".",".",".",".",".",".","."
"","102
005","17","3.471","29.4","47.1","11.8","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","006
102","17","3.559","52.9","35.3",".","5.9",".","5.9",".",".",".",".",".",".",".",".",".","."
"","008
102","11","2.909","27.3","27.3",".","27.3","9.1",".","9.1",".",".",".",".",".",".",".",".","."
"Second Semester Italian","Course Total","86","3.378","39.5","30.2","14.0","10.5","2.3","1.2","2.3",".",".",".",".",".",".",".",".","."
"First Semester Italian Honors","181
001","10","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
001","17","3.706","52.9","35.3","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
003","16","3.750","68.8","12.5","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ital-Speakrs of Romanc Lang","Course Total","33","3.727","60.6","24.2","15.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
002","21","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
203","23","3.674","52.2","30.4","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
005","21","3.524","47.6","28.6","9.5","9.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"","203
006","22","3.833","63.6","31.8",".",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"","203
008","8","3.438","62.5",".","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Italian","Course Total","95","3.665","55.8","27.4","10.5","3.2","2.1",".",".","1.1",".",".",".",".",".",".",".","."
"Fourth Semester Italian","002
204","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Italian Culture","230
001","18","3.278","33.3","27.8","27.8","5.6",".",".","5.6",".",".",".",".",".",".",".",".","."
"Advanced Italian Language","311
001","23","3.500","47.8","13.0","21.7","13.0",".",".",".","4.3",".",".",".",".",".",".",".","."
"Intro to Italian Literature","321
001","19","3.389","31.6","31.6","26.3",".",".","5.3",".","5.3",".",".",".",".",".",".",".","."
"Structures of Italian","340
001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Romance Languages","429
001","10","3.667","50.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".","10.0",".","."
"Il Teatro Italiano","623
001","11","4.000","81.8",".",".",".",".",".",".","9.1",".",".",".",".","9.1",".",".","."
"Lineamenti Di Lett Italiana","631
001","7","4.000","57.1",".",".",".",".",".",".","14.3",".",".",".",".","28.6",".",".","."
"Directed Study","699
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"Issues-Mthds Teachng Fr&Itl","821
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Studies in Italian Lit","951
001","15","4.000","80.0",".",".",".",".",".",".",".",".",".",".",".","20.0",".",".","."
"","990
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
