"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","",""
"MED","College Total","8333","3.530","43.0","16.4","14.0","1.8","2.0","0.7","0.3","15.3","0.0","3.3","0.0","1.1","0.7","0.0","1.2","0.1"
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"MED","","Grades","GPA","","","","","","","","","","","","","","","",""
"Freshmen","","10","3.250","50.0","10.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","343","2.960","38.2","10.2","23.3","4.4","14.9","5.2","2.9",".","0.3",".",".",".","0.3","0.3",".","."
"Junior","","807","3.335","50.1","12.3","24.4","3.1","5.7","2.9","0.6",".",".",".",".",".","0.4",".","0.6","."
"Senior","","1403","3.590","61.1","16.6","13.2","2.4","2.9","1.1","0.3","0.1",".","0.3",".","0.7","0.4",".","1.0","."
"Undergraduates","","2563","3.408","54.5","14.4","18.1","2.9","5.3","2.2","0.7","0.1","0.0","0.2",".","0.4","0.4","0.0","0.7","."
"Special","","186","3.592","50.5","15.1","13.4","2.2","1.1","1.6",".","11.3","0.5",".",".",".","2.2",".","2.2","."
"Graduate","","1650","3.756","44.3","13.6","5.6","0.5","0.2",".",".","22.0","0.2","3.3",".","4.8","1.6",".","3.8","."
"Prof Yr 1","","1519","3.542","20.7","11.9","7.0","0.5","0.7","0.1",".","56.6",".","2.4",".",".",".",".",".","0.1"
"Prof Yr 2","","1389","3.504","37.5","25.5","25.1","3.3","1.1",".","0.2","0.7",".","6.0",".",".","0.1",".","0.1","0.3"
"Prof Yr 3","","361","3.418","27.4","26.0","23.3","2.5","0.3",".",".","2.5",".","15.0",".","0.3","0.3",".","1.1","1.4"
"Prof Yr 4","","704","3.833","65.5","16.8","6.5","0.1","0.1","0.1",".","2.0",".","6.0","0.1","0.1","1.7",".","0.9","."
"Professionals","","3973","3.569","35.1","18.8","14.7","1.6","0.7","0.1","0.1","22.5",".","5.4","0.0","0.1","0.4",".","0.3","0.3"
"","College Total","8372","3.530","43.2","16.3","13.9","1.8","2.0","0.7","0.3","15.3","0.1","3.3","0.0","1.1","0.7","0.0","1.2","0.1"
