"PROFESSIONAL ORIENTATION","Section","#","","Ave","A","AB","B","BC","C","","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"812
PRO OR","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Career Orientation","200
001","","19","3.684","78.9","10.5","5.3",".","",".",".","","5.3",".","",".","",".",".","",".","",".","",".",".","."
"PRO OR
812","Dept. Total","","19","3.684","78.9","10.5","5.3",".","",".","",".","5.3","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"812
PRO OR","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","3","3.667","66.7",".","33.3",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","7","3.929","85.7","14.3",".",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","8","3.500","87.5",".",".",".","",".","",".","12.5","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","18","3.694","83.3","5.6","5.6",".","",".","",".","5.6","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","1","3.500",".","100.0",".",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","19","3.684","78.9","10.5","5.3",".","",".","",".","5.3","",".","",".",".","",".","",".","",".",".",".","."
