"","999
038","2","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
055","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
078","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
086","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Advanced Independent Study","Course Total","9","3.875","33.3",".","11.1",".",".",".","",".","55.6","",".",".","",".",".",".",".",".","."
"NURSING
692","Dept. Total","1471","3.889","70.5","11.8","2.4","0.3","0.2","0.1","",".","1.6","",".","11.0","",".","1.6","0.5",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","85","3.941","92.9","3.5","3.5",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","37","3.859","91.9","2.7",".","2.7",".","2.7","",".",".","",".",".","",".",".",".",".",".","."
"Junior","","237","3.933","61.6","5.9","0.8","0.4",".",".","",".",".","",".","31.2","",".",".",".",".",".","."
"Senior","","917","3.872","69.5","15.2","2.9","0.3","0.3",".","",".",".","",".","9.6","",".","2.0","0.2",".",".","."
"Undergraduates","","1276","3.884","70.2","12.3","2.5","0.4","0.2","0.1","",".",".","",".","12.7","",".","1.4","0.2",".",".","."
"Special","","13","3.727","69.2","15.4","15.4",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Graduate","","180","3.939","72.2","8.3","1.1",".",".",".","",".","12.8","",".",".","",".","2.8","2.8",".",".","."
"Prof Yr 4","","2","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","2","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","1471","3.889","70.5","11.8","2.4","0.3","0.2","0.1","",".","1.6","",".","11.0","",".","1.6","0.5",".",".","."
