"MEDICAL SCIENCES - VET MED","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","",""
"Sm Animal Emrgncy&Crit Care II","577
001","23","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Companion Animal&Equine Med I","632
001","84","3.613","51.2","25.0","21.4",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"Food Animal Medicine","634
001","84","3.113","11.9","13.1","65.5","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"Small Animal Neurology","667
001","16","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"Clin Dermatology Rotation","668
001","23","4.000","65.2",".",".",".",".",".",".","34.8",".",".",".",".",".",".",".","."
"Small Anml Cardiolgy Rotatn","669
001","16","4.000","37.5",".",".",".",".",".",".","62.5",".",".",".",".",".",".",".","."
"","670
001","34","4.000","11.8",".",".",".",".",".",".","88.2",".",".",".",".",".",".",".","."
"","670
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Rotation:Lrge Animal Med","Course Total","36","4.000","13.9",".",".",".",".",".",".","86.1",".",".",".",".",".",".",".","."
"Sr Rotation:Theriogenology","672
001","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Sr Rotation:Ambulatory Serv","674
001","34","4.000","38.2",".",".",".",".",".",".","50.0",".",".",".",".",".",".","11.8","."
"","675
002","29","4.000","58.6",".",".",".",".",".",".","41.4",".",".",".",".",".",".",".","."
"","675
003","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
004","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
005","39","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
007","12","4.000","66.7",".",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"","675
008","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
026","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","126","4.000","57.9",".",".",".",".",".",".","42.1",".",".",".",".",".",".",".","."
"","678
001","38","4.000","47.4",".",".",".",".",".",".","52.6",".",".",".",".",".",".",".","."
"","678
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Internal Med","Course Total","42","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"Small Animal Oncology","679
001","11","3.455","45.5",".",".",".",".","9.1",".","45.5",".",".",".",".",".",".",".","."
"","699
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
028","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","9","3.933","66.7","11.1",".",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"Production Medicine I","701
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prod Med III-Appl Dy Nutr","705
001","10","4.000","20.0",".",".",".",".",".",".","80.0",".",".",".",".",".",".",".","."
"","775
001","31","",".",".",".",".",".",".",".","90.3",".",".",".",".",".",".","9.7","."
"","775
002","17","",".",".",".",".",".",".",".","82.4",".",".",".",".",".",".","17.6","."
"","775
003","8","",".",".",".",".",".",".",".","62.5",".",".",".",".",".",".","37.5","."
"","775
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","60","",".",".",".",".",".",".",".","83.3",".",".",".",".",".",".","16.7","."
