"MED","","","","","","","","","","","","","","","","","","","","",""
"PHYSIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"762
PHYSIOL","","","","","","","","","","","","","","","","","","","","",""
"PHYSIOL
762","Dept. Total","643","3.115","36.4","10.0","30.0","1.2","11.4","3.6","1.4","5.0","0.2","0.6","",".","",".","0.2",".","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"762
PHYSIOL","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","99","2.632","24.2","3.0","27.3","4.0","29.3","8.1","4.0",".",".",".","",".","",".",".",".",".","."
"Junior","","157","2.992","34.4","1.9","38.2","1.9","14.0","7.0","1.9",".",".",".","",".","",".","0.6",".",".","."
"Senior","","156","3.321","48.7","8.3","32.1",".","8.3","1.3","1.3",".",".",".","",".","",".",".",".",".","."
"Undergraduates","","412","3.021","37.4","4.6","33.3","1.7","15.5","5.1","2.2",".",".",".","",".","",".","0.2",".",".","."
"Special","","10","3.189","40.0",".","30.0",".",".","10.0",".","10.0","10.0",".","",".","",".",".",".",".","."
"Graduate","","123","3.610","30.1","31.7","8.1","0.8","0.8",".",".","24.4",".","3.3","",".","",".",".",".","0.8","."
"Prof Yr 1","","96","3.328","40.6","6.3","43.8",".","8.3","1.0",".",".",".",".","",".","",".",".",".",".","."
"Prof Yr 4","","2","3.000",".",".","50.0",".",".",".",".","50.0",".",".","",".","",".",".",".",".","."
"Professionals","","98","3.324","39.8","6.1","43.9",".","8.2","1.0",".","1.0",".",".","",".","",".",".",".",".","."
"","Dept. Total","643","3.115","36.4","10.0","30.0","1.2","11.4","3.6","1.4","5.0","0.2","0.6","",".","",".","0.2",".","0.2","."
