"CHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"564","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"564","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"564","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Physical Chemistry Lab","Course Total","","18","3.056","27.8","22.2","27.8","11.1",".","5.6","5.6",".",".",".",".",".",".",".",".","."
"565
Biophysical Chemistry","001","","85","3.224","41.2","9.4","24.7","11.8","9.4","2.4","1.2",".",".",".",".",".",".",".",".","."
"608
Symmtry/Bondng/Molec Shapes","001","","12","3.500","33.3","25.0","33.3",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"619
Microscopy of Life","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"621
Instrumental Analysis","001","","16","3.595","37.5","43.8","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"624
Electrochemistry","001","","19","3.350","36.8","31.6","5.3","10.5","10.5",".",".","5.3",".",".",".",".",".",".",".","."
"625
Separations-Chem Analysis","001","","10","3.640","50.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"630
Topics-Analytical Chemistry","001","","31","3.620","58.1","19.4","19.4",".",".","3.2",".",".",".",".",".",".",".",".",".","."
"635
Topics in Computational Chem","001","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"636
Topics-Chem Instrumentatn: NMR","001","","16","3.469","18.8","56.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"641
Advanced Organic Chemistry","001","","29","3.414","31.0","31.0","31.0","3.4","3.4",".",".",".",".",".",".",".",".",".",".","."
"654
Materials Chem of Polymers","001","","24","3.226","12.5","20.8","58.3","4.2",".",".",".",".",".",".",".",".","4.2",".",".","."
"661
Chem & Stat Thermodynamics","001","","17","3.281","17.6","29.4","35.3","11.8",".",".",".","5.9",".",".",".",".",".",".",".","."
"665
Biophysical Chemistry","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"675
Intro Quantum Chemistry","001","","21","3.500","38.1","19.0","38.1",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"681","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"682
Senior Honors Thesis","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
