"SPANISH (SPANISH AND PORTU Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"","311
013","20","3.850","75.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Language Practice","Course Total","243","3.581","47.3","30.9","16.5","1.6","2.5","0.8",".","0.4",".",".",".",".",".",".",".","."
"","001
319","6","3.500","83.3",".",".",".",".","16.7",".",".",".",".",".",".",".",".",".","."
"","319
002","18","3.444","55.6","22.2","11.1",".","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"Topics in Span Lang Pract","Course Total","24","3.458","62.5","16.7","8.3",".","4.2","4.2","4.2",".",".",".",".",".",".",".",".","."
"","320
001","22","3.205","22.7","40.9","13.6","18.2",".",".","4.5",".",".",".",".",".",".",".",".","."
"","320
002","24","3.375","16.7","45.8","33.3","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","003
320","24","2.917","20.8","4.2","54.2","4.2","8.3","4.2","4.2",".",".",".",".",".",".",".",".","."
"","320
004","21","3.214","19.0","33.3","42.9",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"","005
320","21","3.810","76.2","9.5","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","320
006","24","3.396","41.7","20.8","20.8","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","320
007","19","3.474","36.8","42.1","10.5",".","10.5",".",".",".",".",".",".",".",".",".",".","."
"Spanish Phonetics","Course Total","155","3.332","32.9","27.7","27.7","5.2","3.9","0.6","1.9",".",".",".",".",".",".",".",".","."
"","322
001","22","3.455","63.6","9.1","13.6",".","9.1",".","4.5",".",".",".",".",".",".",".",".","."
"","002
322","24","3.479","29.2","45.8","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Early Hispanic Lit","Course Total","46","3.467","45.7","28.3","15.2","4.3","4.3",".","2.2",".",".",".",".",".",".",".",".","."
"Adv Lang Prac-Expos Writing","323
001","17","3.382","29.4","29.4","29.4","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","324
001","28","3.722","57.1","25.0","14.3",".",".",".",".",".",".",".",".",".","3.6",".",".","."
"","002
324","24","3.667","79.2",".","8.3",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","003
324","14","2.964","14.3","14.3","50.0","7.1","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"Survey of Modern Spanish Lit","Course Total","66","3.538","56.1","13.6","19.7","1.5","6.1","1.5",".",".",".",".",".",".","1.5",".",".","."
"","325
001","22","3.477","54.5","4.5","31.8",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","325
002","23","3.913","82.6","17.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","325
003","23","3.848","69.6","30.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","325
004","24","3.717","75.0","12.5","4.2",".",".",".","4.2","4.2",".",".",".",".",".",".",".","."
"","005
325","24","3.250","25.0","25.0","37.5","8.3",".","4.2",".",".",".",".",".",".",".",".",".","."
"Advanced Conversation","Course Total","116","3.639","61.2","18.1","14.7","1.7","1.7","0.9","0.9","0.9",".",".",".",".",".",".",".","."
"","001
326","22","3.341","40.9","18.2","27.3","4.5","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"","002
326","19","3.278","26.3","15.8","42.1","5.3","5.3",".",".",".",".",".",".",".","5.3",".",".","."
"Survey of Spanish American Lit","Course Total","41","3.313","34.1","17.1","34.1","4.9","4.9","2.4",".",".",".",".",".",".","2.4",".",".","."
"","327
001","18","3.306","33.3","22.2","33.3","5.6",".","5.6",".",".",".",".",".",".",".",".",".","."
"","327
002","26","3.846","84.6",".","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","327
003","23","3.196","30.4","8.7","39.1","13.0","8.7",".",".",".",".",".",".",".",".",".",".","."
"Intro to Spanish Linguistics","Course Total","67","3.478","52.2","9.0","28.4","6.0","3.0","1.5",".",".",".",".",".",".",".",".",".","."
"","361
001","21","3.214","9.5","52.4","33.3",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"","361
002","24","3.646","45.8","37.5","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spanish Civilization","Course Total","45","3.444","28.9","44.4","24.4",".",".",".","2.2",".",".",".",".",".",".",".",".","."
"Lit de la Edad Med Castellana","414
001","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literatura del Siglo de Oro","417
001","19","3.421","21.1","47.4","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Romance Languages","429
001","77","3.855","75.3","18.2","5.2",".",".",".",".",".",".",".",".",".",".","1.3",".","."
"Cervantes","001
435","21","3.214","33.3","23.8","33.3",".",".","4.8","4.8",".",".",".",".",".",".",".",".","."
"Topics in Spanish Linguistics","446
001","20","3.868","85.0",".","5.0","5.0",".",".",".",".",".",".",".",".",".","5.0",".","."
"","460
001","12","3.458","50.0","25.0",".","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"","460
002","23","3.609","47.8","26.1","26.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 14, 2013","","","","","","","","","","","","","","","","","","Page 308 of 403",""
