"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"FOOD SCI","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","22","2.795",".","22.7","45.5","18.2","4.5","9.1",".",".","",".",".","",".",".",".",".",".","."
"Junior","","140","3.162","35.0","18.6","24.3","10.7","8.6","2.1","0.7",".","",".",".","",".",".",".",".",".","."
"Senior","","251","3.213","37.8","16.7","27.5","5.6","8.4","1.2","0.4","1.2","",".",".","",".",".","0.8","0.4",".","."
"Undergraduates","","414","3.170","34.8","17.9","27.3","8.0","8.2","1.9","0.5","0.7","",".",".","",".",".","0.5","0.2",".","."
"Special","","3","3.357","33.3","33.3","33.3",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Graduate","","78","3.704","7.7","5.1","1.3",".",".",".",".","74.4","",".",".","",".","10.3","1.3",".",".","."
"","Dept. Total","495","3.184","30.5","16.0","23.2","6.7","6.9","1.6","0.4","12.3","",".",".","",".","1.6","0.6","0.2",".","."
