"TERM : 1132","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2012-2013","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","",""
"POPULATION HEALTH SCIENCE Section","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","","","",""
"POP HLTH
Dept. Total
810","856","3.774","48.2","15.1","4.1","0.6","",".","",".","",".","24.3","",".","4.4","0.1","0.7","2.0",".","0.5","."
"Summary by Level","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","6","3.100","66.7",".",".","33.3","",".","",".","",".",".","",".",".",".",".",".",".",".","."
"Sophomore","10","3.719","80.0","10.0","10.0",".","",".","",".","",".",".","",".",".",".",".",".",".",".","."
"Junior","29","3.554","48.3","27.6","24.1",".","",".","",".","",".",".","",".",".",".",".",".",".",".","."
"Senior","79","3.646","50.6","30.4","7.6","3.8","",".","",".","",".",".","",".","5.1",".",".","1.3",".","1.3","."
"Undergraduates","124","3.608","53.2","26.6","11.3","4.0","",".","",".","",".",".","",".","3.2",".",".","0.8",".","0.8","."
"Special","43","3.764","51.2","16.3","7.0",".","",".","",".","",".","16.3","",".",".",".",".","4.7",".","4.7","."
"Graduate","201","3.808","56.7","21.4","3.0",".","",".","",".","",".","13.9","",".",".",".","3.0","1.5",".","0.5","."
"Prof Yr 1","230","3.943","24.8","0.4","0.4",".","",".","",".","",".","74.3","",".",".",".",".",".",".",".","."
"Prof Yr 2","35","3.939","88.6","8.6",".",".","",".","",".","",".","2.9","",".",".",".",".",".",".",".","."
"Prof Yr 3","13","3.944","92.3","7.7",".",".","",".","",".","",".",".","",".",".",".",".",".",".",".","."
"Prof Yr 4","210","3.789","52.9","19.5","5.2",".","",".","",".","",".","0.5","",".","16.2","0.5",".","5.2",".",".","."
"Professionals","488","3.834","43.2","9.4","2.5",".","",".","",".","",".","35.5","",".","7.0","0.2",".","2.3",".",".","."
"Dept. Total","856","3.774","48.2","15.1","4.1","0.6","",".","",".","",".","24.3","",".","4.4","0.1","0.7","2.0",".","0.5","."
